date,quote e,quote c,author
04-26,Be consistent and results will come.,持續做，成果自然會來。,Unknown
04-27,A calm mind is a strong mind.,平靜的心就是強大的心。,Unknown
04-28,Success loves preparation.,成功偏愛有準備的人。,Unknown
04-29,You are writing your own future.,你正在寫下自己的未來。,Unknown
04-30,Take pride in your progress.,為自己的進步感到驕傲。,Unknown
05-01,Keep learning keep rising.,一直學習，一直向上。,Unknown
05-02,Every expert was once a beginner.,每位專家都曾是新手。,Unknown
05-03,It is okay to take breaks not to give up.,休息可以，但別放棄。,Unknown
05-04,Your attitude decides your direction.,你的態度決定你的方向。,Unknown
05-05,Be stronger than your excuses.,比藉口更強大。,Unknown
05-06,You can start again anytime.,你隨時都可以重新開始。,Unknown
05-07,Work in silence let success speak.,默默努力，讓成果說話。,Unknown
05-08,Difficult roads lead to beautiful places.,艱難的路，會通往美麗的地方。,Unknown
05-09,You are becoming what you practice.,你正在成為你每天練習的樣子。,Unknown
05-10,Choose to be hopeful.,選擇抱持希望。,Unknown
05-11,Do your best today and improve tomorrow.,今天盡力，明天更好。,Unknown
05-12,The ripple of effort reaches far.,努力的漣漪會傳得很遠。,Unknown
05-13,One step forward is still forward.,向前一步就是進步。,Unknown
05-14,You are not alone in learning.,學習路上你不孤單。,Unknown
05-15,Make your effort your habit.,把努力變成習慣。,Unknown
05-16,Confidence comes from preparation.,自信來自準備。,Unknown
05-17,Be proud of your courage to try.,為你願意嘗試的勇氣驕傲。,Unknown
05-18,Your future is built today.,你的未來正在今天被打造。,Unknown
05-19,Stay kind to your mind.,對自己的心溫柔一點。,Unknown
05-20,Keep your goals clear and your heart steady.,目標清楚，心就穩。,Unknown
05-21,Every challenge teaches you something.,每個挑戰都在教你一件事。,Unknown
05-22,You can do more than you think.,你能做到的比你想的更多。,Unknown
05-23,Let effort be your language.,用努力說話。,Unknown
05-24,You improve when you persist.,你在堅持中變強。,Unknown
05-25,Make today count.,讓今天有價值。,Unknown
05-26,Stay open to growth.,保持對成長的開放。,Unknown
05-27,The best view comes after the hardest climb.,最好的風景在最難的攀登之後。,Unknown
05-28,Keep your eyes on the goal not the obstacles.,把眼光放在目標上，而不是障礙上。,Unknown
05-29,You are capable of learning anything.,你有能力學會任何事。,Unknown
05-30,Step by step you will get there.,一步一步，你會到達。,Unknown
05-31,Energy flows where attention goes.,注意力在哪裡，能量就往哪裡走。,Unknown
06-01,Your effort is your power.,你的努力就是你的力量。,Unknown
06-02,Do something small today for a better tomorrow.,今天做一件小事，明天就會更好。,Unknown
06-03,Every try makes you stronger.,每一次嘗試都讓你更強。,Unknown
06-04,Give your best and trust your growth.,盡全力，也相信自己會成長。,Unknown
06-05,You do not need to be perfect to be improving.,不用完美，也能持續變好。,Unknown
06-06,The journey teaches as much as the destination.,旅程帶來的學習不亞於終點。,Unknown
06-07,A good start begins with courage.,好的開始源自勇氣。,Unknown
06-08,Your focus builds your future.,你的專注正在建造未來。,Unknown
06-09,Keep practicing and you will surprise yourself.,持續練習，你會驚豔自己。,Unknown
06-10,You can handle this moment.,你可以好好面對這一刻。,Unknown
06-11,Every day you get a little better.,每天都會更進步一點。,Unknown
06-12,Let your effort be louder than your doubts.,讓努力大聲過你的懷疑。,Unknown
06-13,Be curious and fearless.,保持好奇，也要無所畏懼。,Unknown
06-14,You are allowed to take your time.,你可以用自己的步調慢慢來。,Unknown
06-15,What matters is that you keep going.,重要的是你持續前進。,Unknown
06-16,Your consistency will pay off.,你的持續終將有回報。,Unknown
06-17,Learning today leads to success tomorrow.,今天的學習會通往明天的成功。,Unknown
06-18,Stay hopeful and work steadily.,保持希望，穩穩努力。,Unknown
06-19,You are making progress even on hard days.,就算很難的日子，你也在進步。,Unknown
06-20,Your effort shows your character.,你的努力展現你的品格。,Unknown
06-21,Choose bravery over comfort.,選擇勇敢，而不是安逸。,Unknown
06-22,You can learn from everything.,你可以從一切中學到東西。,Unknown
06-23,Keep a learner’s heart.,保持學習者的心。,Unknown
06-24,You are not defined by one bad day.,你不會被某一天的失誤定義。,Unknown
06-25,Every practice is a step forward.,每一次練習都是向前一步。,Unknown
06-26,Do the work and the confidence will follow.,先去做，自信就會跟上。,Unknown
06-27,Your discipline is your freedom.,自律帶來自由。,Unknown
06-28,Success grows from daily routines.,成功長在每天的日常裡。,Unknown
06-29,You can always improve with time.,隨著時間，你一定會更好。,Unknown
06-30,Your mind deserves encouragement.,你的心也值得被鼓勵。,Unknown
07-01,Start simple stay steady.,簡單開始，穩定前行。,Unknown
07-02,Your progress is your victory.,你的進步就是你的勝利。,Unknown
07-03,Trust yourself to figure it out.,相信自己能找到方法。,Unknown
07-04,Do not rush do not stop.,不必急，但別停。,Unknown
07-05,Every new day brings new strength.,每個新的一天都帶來新的力量。,Unknown
07-06,You are building a better you.,你正在打造更好的自己。,Unknown
07-07,It is never too late to learn.,學習永遠不嫌晚。,Unknown
07-08,The more you try the more you grow.,你越嘗試，就越成長。,Unknown
07-09,Keep your standards high and your spirit higher.,標準要高，心氣更要高。,Unknown
07-10,One small win can fuel the next.,一個小小的成功能推動下一步。,Unknown
07-11,You are doing better than you think.,你比你想的做得更好。,Unknown
07-12,Practice with purpose.,帶著目標去練習。,Unknown
07-13,Be proud of your effort today.,為你今天的努力感到驕傲。,Unknown
07-14,Your perseverance is your strength.,你的堅持就是你的力量。,Unknown
07-15,Stay gentle with yourself keep moving.,溫柔對待自己，繼續前進。,Unknown
07-16,The only way to do great work is to love what you do.,「做出偉大工作的唯一方法，就是熱愛你所做的事。」,Steve Jobs
07-17,It does not matter how slowly you go as long as you do not stop.,「走得慢沒關係，只要你不停下來。」,Confucius
07-18,"Success is not final, failure is not fatal: it is the courage to continue that counts.",「成功不是終點，失敗也不是末日，重要的是繼續前進的勇氣。」,Winston Churchill
07-19,Believe you can and you're halfway there.,「相信你做得到，你就成功了一半。」,Theodore Roosevelt
07-20,Start where you are. Use what you have. Do what you can.,「從你所在之處開始，用你擁有的資源，做你能做的事。」,Arthur Ashe
07-21,Everything you’ve ever wanted is on the other side of fear.,「你想要的一切，都在恐懼的另一端。」,George Addair
07-22,Don’t watch the clock; do what it does. Keep going.,「別盯著時鐘，做它做的事——繼續走。」,Sam Levenson
07-23,Act as if what you do makes a difference. It does.,「做事要相信自己正在帶來改變——因為你真的有。」,William James
07-24,With the new day comes new strength and new thoughts.,「新的一天帶來新的力量與新的想法。」,Eleanor Roosevelt
07-25,"Quality is not an act, it is a habit.",「品質不是一個行動，而是一種習慣。」,Aristotle
07-26,You miss 100% of the shots you don’t take.,「你不出手，就會錯過百分之百的機會。」,Wayne Gretzky
07-27,It always seems impossible until it’s done.,「在完成以前，一切看起來都不可能。」,Nelson Mandela
07-28,"Do what you can, with what you have, where you are.",「用你所擁有的，在你所在的位置，做你能做的事。」,Theodore Roosevelt
07-29,"Happiness is not by chance, but by choice.",「快樂不是偶然，而是選擇。」,Jim Rohn
07-30,"Whether you think you can or you think you can’t, you’re right.",「你覺得你行或不行，你都說對了。」,Henry Ford
07-31,"If you can dream it, you can do it.",「只要你能夢想，就能做到。」,Walt Disney
08-01,Fall seven times and stand up eight.,「跌倒七次，站起來八次。」,Japanese Proverb
08-02,Life is 10% what happens to us and 90% how we react to it.,「人生 10% 是遭遇，90% 是反應。」,Charles R. Swindoll
08-03,The best way to predict the future is to create it.,「預測未來最好的方法，就是創造它。」,Peter Drucker
08-04,"Success is the sum of small efforts, repeated day in and day out.",「成功是每天重複的小努力累積而成。」,Robert Collier
08-05,Be yourself; everyone else is already taken.,「做你自己，因為別人都已經有人當了。」,Oscar Wilde
08-06,Never let the fear of striking out keep you from playing the game.,「別讓害怕失敗阻止你上場。」,Babe Ruth
08-07,"Your time is limited, so don’t waste it living someone else’s life.",「你的時間有限，別浪費在活成別人的樣子。」,Steve Jobs
08-08,Education is the most powerful weapon which you can use to change the world.,「教育是改變世界最有力的武器。」,Nelson Mandela
08-09,"Strive not to be a success, but rather to be of value.",「不要只追求成功，而要成為有價值的人。」,Albert Einstein
08-10,Perseverance is failing 19 times and succeeding the 20th.,「毅力就是失敗 19 次，仍在第 20 次成功。」,Julie Andrews
08-11,Do one thing every day that scares you.,「每天做一件讓你害怕的事。」,Eleanor Roosevelt
08-12,What lies behind us and what lies before us are tiny matters compared to what lies within us.,「過去與未來都微不足道，真正重要的是我們內在的力量。」,Ralph Waldo Emerson
08-13,Opportunities don't happen. You create them.,「機會不是等來的，是你創造的。」,Chris Grosser
08-14,Hardships often prepare ordinary people for an extraordinary destiny.,「困難常常是在為平凡的人準備不平凡的命運。」,C. S. Lewis
08-15,Do not wait to strike till the iron is hot; but make it hot by striking.,「別等鐵熱才敲，敲下去，鐵自然會熱。」,William Butler Yeats
08-16,Success usually comes to those who are too busy to be looking for it.,「成功通常會來找那些忙到沒空找成功的人。」,Henry David Thoreau
08-17,Energy and persistence conquer all things.,「能量與堅持能征服一切。」,Benjamin Franklin
08-18,Believe in your infinite potential. Your only limitations are those you set upon yourself.,「相信你無限的潛能，真正的限制來自你自己。」,Roy T. Bennett
08-19,Keep your face always toward the sunshine—and shadows will fall behind you.,「讓臉朝向陽光，陰影就會落在身後。」,Walt Whitman
08-20,We become what we think about.,「我們會成為自己常常思考的樣子。」,Earl Nightingale
08-21,The way to get started is to quit talking and begin doing.,「開始的方法就是停止空談，立刻行動。」,Walt Disney
08-22,Nothing will work unless you do.,「如果你不去做，什麼都不會發生。」,Maya Angelou
08-23,It’s never too late to be what you might have been.,「成為你本可以成為的樣子，永遠不嫌晚。」,George Eliot
08-24,You are never too old to set another goal or to dream a new dream.,「你永遠不會太老，不能再立一個新目標或新夢想。」,C. S. Lewis
08-25,Success is walking from failure to failure with no loss of enthusiasm.,「成功就是從一次失敗走向下一次失敗，仍不失熱情。」,Winston Churchill
08-26,"The greatest glory in living lies not in never falling, but in rising every time we fall.",「人生最大的榮耀不是不跌倒，而是每次跌倒都能再站起來。」,Nelson Mandela
08-27,"Do the best you can until you know better. Then when you know better, do better.",「在你還不知道得更多時，先盡力做到最好，知道更多後，就做得更好。」,Maya Angelou
08-28,"You don’t have to be great to start, but you have to start to be great.",「你不必很厲害才開始，但你必須開始才會很厲害。」,Zig Ziglar
08-29,The man who moves a mountain begins by carrying away small stones.,「移山的人，是從搬走小石頭開始的。」,Confucius
08-30,Turn your wounds into wisdom.,「把傷口變成智慧。」,Oprah Winfrey
08-31,Light tomorrow with today.,「用今天點亮明天。」,Elizabeth Barrett Browning
09-01,Confidence comes from discipline and training.,「自信來自自律與訓練。」,Robert Kiyosaki
09-02,In the middle of difficulty lies opportunity.,「困難之中藏著機會。」,Albert Einstein
09-03,"Do what you feel in your heart to be right, for you’ll be criticized anyway.",「做你心中認為對的事，因為不管怎樣你都會被評論。」,Eleanor Roosevelt
09-04,"Keep your eyes on the stars, and your feet on the ground.",「眼望星空，腳踏實地。」,Theodore Roosevelt
09-05,Hope is a waking dream.,「希望是清醒時的夢。」,Aristotle
09-06,Either you run the day or the day runs you.,「不是你掌控一天，就是一天掌控你。」,Jim Rohn
09-07,Action is the foundational key to all success.,「行動是所有成功的基石。」,Pablo Picasso
09-08,Well begun is half done.,「好的開始是成功的一半。」,Aristotle
09-09,Don’t limit your challenges. Challenge your limits.,「別限制你的挑戰，去挑戰你的極限。」,Unknown
09-10,"The harder you work, the luckier you get.",「你越努力，就越幸運。」,Gary Player
09-11,Success is a series of small wins.,「成功是一連串小小的勝利。」,Unknown
09-12,Live as if you were to die tomorrow. Learn as if you were to live forever.,「活得像明天就會死，學得像你會永遠活著。」,Mahatma Gandhi
09-13,Make each day your masterpiece.,「讓每一天都成為你的傑作。」,John Wooden
09-14,"Do not go where the path may lead, go instead where there is no path and leave a trail.",「別走別人走過的路，去沒有路的地方，走出自己的路。」,Ralph Waldo Emerson
09-15,"Success is not in what you have, but who you are.",「成功不在於你擁有什麼，而在於你成為了誰。」,Bo Bennett
09-16,Nothing is impossible. The word itself says 'I'm possible!',「沒有不可能，因為 ‘impossible’ 本身就寫著 ‘I’m possible’。」,Audrey Hepburn
09-17,Do small things with great love.,「用很大的愛去做小事。」,Mother Teresa
09-18,Go the extra mile. It’s never crowded.,「多走一里路，那裡從不擁擠。」,Wayne Dyer
09-19,Success is how high you bounce when you hit bottom.,「成功是你跌到谷底時反彈的高度。」,George S. Patton
09-20,"If you want to lift yourself up, lift up someone else.",「想讓自己站起來，就去扶起別人。」,Booker T. Washington
09-21,The only limit to our realization of tomorrow is our doubts of today.,「實現明天的唯一阻礙，是今天的懷疑。」,Franklin D. Roosevelt
09-22,Be so good they can’t ignore you.,「努力到讓人無法忽視你。」,Steve Martin
09-23,Patience and perseverance have a magical effect before which difficulties disappear.,「耐心與毅力有種魔力，能讓困難消散。」,John Quincy Adams
09-24,A person who never made a mistake never tried anything new.,「從不犯錯的人，從未嘗試新事物。」,Albert Einstein
09-25,"Work gives you meaning and purpose, and life is empty without it.",「工作賦予意義與目的，沒有它人生就空了。」,Stephen Hawking
09-26,Nothing great was ever achieved without enthusiasm.,「沒有熱情，就沒有偉大的成就。」,Ralph Waldo Emerson
09-27,"I can, therefore I am.",「我能，所以我在。」,Simone Weil
09-28,Success is getting what you want. Happiness is wanting what you get.,「成功是得到你想要的，幸福是喜歡你得到的。」,Dale Carnegie
09-29,Don’t be pushed around by the fears in your mind. Be led by the dreams in your heart.,「別被腦中的恐懼推著走，要被心中的夢想帶領。」,Roy T. Bennett
09-30,An investment in knowledge pays the best interest.,「投資知識，回報最高。」,Benjamin Franklin
10-01,Do not let what you cannot do interfere with what you can do.,「別讓你做不到的事，妨礙你能做到的事。」,John Wooden
10-02,"If you’re going through hell, keep going.",「如果你正走在地獄裡，那就繼續走。」,Winston Churchill
10-03,You must do the thing you think you cannot do.,「你一定要去做你以為做不到的事。」,Eleanor Roosevelt
10-04,The best revenge is massive success.,「最好的反擊，就是巨大的成功。」,Frank Sinatra
10-05,"Success is liking yourself, liking what you do, and liking how you do it.",「成功是喜歡自己、喜歡所做的事、也喜歡你做事的方式。」,Maya Angelou
10-06,Do what you love and the money will follow.,「做你熱愛的事，錢會跟著來。」,Marsha Sinetar
10-07,"I have not failed. I've just found 10,000 ways that won't work.",「我沒有失敗，只是找到一萬種行不通的方法。」,Thomas Edison
10-08,"Life is like riding a bicycle. To keep your balance, you must keep moving.",「人生像騎腳踏車，想保持平衡就得一直前進。」,Albert Einstein
10-09,The best preparation for tomorrow is doing your best today.,「對明天最好的準備，就是把今天做到最好。」,H. Jackson Brown Jr.
10-10,Success is the ability to go from one failure to another without losing enthusiasm.,「成功是一次次失敗仍不失熱情的能力。」,Winston Churchill
10-11,"Your life does not get better by chance, it gets better by change.",「人生不會因為運氣變好，而是因為改變變好。」,Jim Rohn
10-12,Do not be afraid to give up the good to go for the great.,「別害怕放下好的，去追求更好的。」,John D. Rockefeller
10-13,"If opportunity doesn’t knock, build a door.",「如果機會不敲門，就自己造一扇門。」,Milton Berle
10-14,Success is a decision.,「成功是一個決定。」,Unknown
10-15,The difference between ordinary and extraordinary is that little extra.,「平凡與不凡的差別，就在那一點點多做。」,Jimmy Johnson
10-16,Every strike brings me closer to the next home run.,「每一次落空，都讓我更接近下一次全壘打。」,Babe Ruth
10-17,"Stay hungry, stay foolish.",「求知若飢，虛心若愚。」,Steve Jobs
10-18,We rise by lifting others.,「扶起別人，也是在抬高自己。」,Robert Ingersoll
10-19,"Success is not for the chosen few, but for the few who choose it.",「成功不是給少數天選之人，而是給那些選擇它的人。」,Unknown
10-20,"Don’t count the days, make the days count.",「別數日子，要讓日子有價值。」,Muhammad Ali
10-21,"Wherever you go, go with all your heart.",「無論走到哪裡，都要全心投入。」,Confucius
10-22,Be kind whenever possible. It is always possible.,「只要可能就要善良，而善良永遠可能。」,Dalai Lama
10-23,"Keep your mind on the solution, not the problem.",「把心思放在解法，而不是問題上。」,Unknown
10-24,"Success is not how high you have climbed, but how you make a positive difference to the world.",「成功不在於你爬得多高，而在於你為世界帶來多少正向改變。」,Roy T. Bennett
10-25,The best way out is always through.,「走出困境最好的方式，就是穿越它。」,Robert Frost
10-26,"Make your life a mission, not an intermission.",「讓人生是一場使命，而不是一段插曲。」,Arnold H. Glasow
10-27,Believe in yourself and all that you are.,「相信你自己，以及你所擁有的一切。」,Christian D. Larson
10-28,Your big opportunity may be right where you are now.,「你最大的機會，可能就在你此刻所在之處。」,Napoleon Hill
10-29,Don’t wait. The time will never be just right.,「別等待，時機永遠不會完美。」,Napoleon Hill
10-30,Do what you can today to improve all your tomorrows.,「今天做你能做的，讓所有明天更好。」,Ralph Marston
10-31,Success is the progressive realization of a worthy goal.,「成功是逐步實現有價值的目標。」,Earl Nightingale
11-01,The only person you are destined to become is the person you decide to be.,「你注定成為的人，是你決定要成為的人。」,Ralph Waldo Emerson
11-02,Don’t be discouraged. It’s often the last key in the bunch that opens the lock.,「別灰心，常常是最後一把鑰匙才打開鎖。」,Unknown
11-03,"Do what is right, not what is easy.",「做對的事，不是做容易的事。」,Unknown
11-04,"Set your goals high, and don’t stop till you get there.",「把目標訂高，直到達成前都別停。」,Bo Jackson
11-05,"Success is a stairway, not a doorway.",「成功是一段階梯，不是一扇門。」,Dottie Walters
11-06,"Find a way, not an excuse.",「找方法，不找藉口。」,Unknown
11-07,The comeback is always stronger than the setback.,「逆轉永遠比挫折更強大。」,Unknown
11-08,Do the right thing even when no one is looking.,「即使沒人看見，也要做對的事。」,Unknown
11-09,Be the change you wish to see in the world.,「成為你想在世界上看見的改變。」,Mahatma Gandhi
11-10,Confidence is contagious. So is lack of confidence.,「自信會傳染，不自信也是。」,Vince Lombardi
11-11,"Success is the result of preparation, hard work, and learning from failure.",「成功來自準備、努力，以及從失敗中學習。」,Colin Powell
11-12,Do not let yesterday take up too much of today.,「別讓昨天佔據了今天太多。」,Will Rogers
11-13,"It’s not whether you get knocked down, it’s whether you get up.",「重要的不是你被打倒，而是你是否站起來。」,Vince Lombardi
11-14,"You can’t go back and change the beginning, but you can start where you are and change the ending.",「你無法改變起點，但可以從此刻改變結局。」,C. S. Lewis
11-15,A champion is afraid of losing. Everyone else is afraid of winning.,「冠軍怕輸，其他人怕贏。」,Billie Jean King
11-16,Failure is the opportunity to begin again more intelligently.,「失敗是更聰明地再開始的機會。」,Henry Ford
11-17,"Not everything that is faced can be changed, but nothing can be changed until it is faced.",「不是所有事情都能改變，但不面對就無法改變。」,James Baldwin
11-18,"Do not go through life, grow through life.",「不要只是過日子，要在日子裡成長。」,Eric Butterworth
11-19,Be faithful in small things because it is in them that your strength lies.,「在小事上忠實，因為力量就藏在其中。」,Mother Teresa
11-20,The pain you feel today will be the strength you feel tomorrow.,「今天的痛，會成為明天的力量。」,Unknown
11-21,"Where there is hope, there is life.",「哪裡有希望，哪裡就有生命。」,Anne Frank
11-22,Success is getting up one more time than you fall.,「成功就是比跌倒多站起來一次。」,Oliver Goldsmith
11-23,Never give up on a dream just because of the time it will take.,「別因為需要時間，就放棄夢想。」,Earl Nightingale
11-24,"If you believe it will work out, you’ll see opportunities. If you believe it won’t, you’ll see obstacles.",「相信會成，你就會看見機會，相信不會成，你就會看見障礙。」,Wayne Dyer
11-25,Be so focused on your goals that you forget your fears.,「專注到忘了恐懼。」,Unknown
11-26,"Work hard in silence, let your success be your noise.",「安靜地努力，讓成功替你發聲。」,Frank Ocean
11-27,Your direction is more important than your speed.,「方向比速度更重要。」,Unknown
11-28,Success is the best motivator.,「成功是最好的動力。」,Unknown
11-29,Do not underestimate yourself. You are capable of more than you imagine.,「別小看自己，你比想像中更有能力。」,Unknown
11-30,The biggest risk is not taking any risk.,「最大的風險，是不冒任何風險。」,Mark Zuckerberg
12-01,Great things never come from comfort zones.,「偉大的事不會在舒適圈裡發生。」,Unknown
12-02,"If you want to fly, give up what weighs you down.",「想飛，就放下讓你沉重的東西。」,Unknown
