subject,word,pos,meaning,sentence e,sentence c
生物 (細胞) Biology (Cell Biology),meiosis,n.,減數分裂,Meiosis is a type of cell division that reduces the chromosome number by half.,減數分裂是一種使染色體數量減半的細胞分裂方式。
生物 (細胞) Biology (Cell Biology),mitosis,n.,有絲分裂,Mitosis results in two daughter cells that are genetically identical to the parent.,有絲分裂產生兩個與親代基因完全相同的子細胞。
生物 (細胞) Biology (Cell Biology),organelle,n.,細胞器,Mitochondria are known as the powerhouse organelle of the cell.,線粒體被稱為細胞的能量工廠細胞器。
生物 (細胞) Biology (Cell Biology),osmosis,n.,滲透作用,Osmosis is the movement of water across a semipermeable membrane from low to high solute concentration.,滲透作用是水分子從低濃度溶液經半透膜移動到高濃度溶液的現象。
生物 (細胞) Biology (Cell Biology),prokaryote,n.,原核生物,Bacteria are the most common examples of prokaryote organisms.,細菌是原核生物最常見的例子。
生物 (解剖) Biology (Anatomy),organ system,n.,器官系統,The circulatory system is an organ system that moves blood throughout the body.,循環系統是一個在全身輸送血液的器官系統。
生物 (解剖) Biology (Anatomy),tissue,n.,組織,Muscle tissue is responsible for movement in the human body.,肌肉組織負責人體的運動。
生物 (遺傳) Biology (Genetics),allele,n.,等位基因,An allele is one of two or more alternative forms of a gene.,等位基因是基因的兩種或多種替代形式之一。
生物 (遺傳) Biology (Genetics),chromosome,n.,染色體,Humans typically have 23 pairs of chromosomes in each cell.,人類每個細胞中通常有 23 對染色體。
生物 (遺傳) Biology (Genetics),epigenetics,n.,表觀遺傳學,Epigenetics studies heritable changes in gene expression without altering the DNA sequence.,表觀遺傳學研究不改變 DNA 序列下，可遺傳的基因表現變化。
生物 (遺傳) Biology (Genetics),gene,n.,基因,A gene is a segment of DNA that codes for a specific protein or trait.,基因是 DNA 的一段，負責編碼特定蛋白質或性狀。
生物 (遺傳) Biology (Genetics),genotype,n.,基因型,The genotype represents the entire genetic makeup of an individual.,基因型代表一個個體完整的遺傳組成。
生物 (遺傳) Biology (Genetics),heterozygous,adj.,雜合的,Heterozygous individuals possess two different alleles for a specific trait.,雜合個體對特定性狀具有兩個不同的等位基因。
生物 (遺傳) Biology (Genetics),homozygous,adj.,純合的,An organism is homozygous if it has two identical alleles for a particular gene.,如果一個生物體對某個特定基因具有兩個相同的等位基因，則它是純合的。
生物 (遺傳) Biology (Genetics),phenotype,n.,表型；表現型,The phenotype of an organism is the set of its observable characteristics.,生物體的表型是其可觀察特徵的集合。
醫療 Medical,acute,adj.,急性的,The patient was rushed to the hospital with acute abdominal pain.,病人因急性腹痛被緊急送往醫院。
醫療 Medical,anesthesia,n.,麻醉,Local anesthesia is used to numb a specific area during minor surgery.,局部麻醉用於在小型手術中使特定區域麻痺。
醫療 Medical,antibody,n.,抗體,Vaccination stimulates the immune system to produce a specific antibody.,接種疫苗會刺激免疫系統產生特定的抗體。
醫療 Medical,antigen,n.,抗原,An antigen is any substance that causes your immune system to produce antibodies.,抗原是任何會導致免疫系統產生抗體的物質。
醫療 Medical,biopsy,n.,活體組織檢查；切片,The doctor ordered a biopsy to determine if the tumor was benign or malignant.,醫生要求進行活檢以確定腫瘤是良性還是惡性。
醫療 Medical,bioremediation,n.,生物修復,Bioremediation uses microorganisms to clean up contaminated soil and groundwater.,生物修復利用微生物來清理受污染的土壤和地下水。
醫療 Medical,biotechnology,n.,生物技術,Biotechnology uses living systems to develop products like medicine and fuels.,生物技術利用生命系統來開發醫藥和燃料等產品。
醫療 Medical,cardiovascular,adj.,心血管的,Regular exercise can significantly improve cardiovascular health.,定期運動可以顯著改善心血管健康。
醫療 Medical,chronic,adj.,慢性的,Diabetes is a chronic condition that requires long-term management.,糖尿病是一種需要長期管理的慢性疾病。
醫療 Medical,coagulation,n.,凝血,Coagulation is the essential process by which blood changes from a liquid to a gel.,凝血是血液從液體變為凝膠的必要過程。
醫療 Medical,efficacy,n.,功效；效力,Clinical trials are conducted to test the safety and efficacy of new drugs.,進行臨床試驗是為了測試新藥的安全性和有效性。
醫療 Medical,gene therapy,n.,基因治療,Gene therapy aims to treat genetic disorders by replacing faulty genes.,基因治療旨在透過更換缺陷基因來治療遺傳性疾病。
醫療 Medical,immunotherapy,n.,免疫治療,Immunotherapy boosts the body's own immune system to fight diseases like cancer.,免疫治療透過增強人體自身免疫系統來對抗癌症等疾病。
醫療 Medical,incubation period,n.,潛伏期,The incubation period is the time between exposure to a pathogen and the onset of symptoms.,潛伏期是指接觸病原體到症狀出現之間的時間。
醫療 Medical,inflammation,n.,發炎,Inflammation is the body's natural response to injury or infection.,發炎是身體對受傷或感染的自然反應。
醫療 Medical,metabolism,n.,新陳代謝,Certain medical conditions can slow down a patient's basal metabolism.,某些醫療狀況可能會減慢病人的基礎新陳代謝。
醫療 Medical,metastasis,n.,(癌症) 轉移,Metastasis occurs when cancer cells spread from the primary site to other organs.,當癌細胞從原發部位擴散到其他器官時，就會發生轉移。
醫療 Medical,microbiome,n.,微生物組,The human microbiome includes trillions of microbes living in and on our bodies.,人體微生物組包含生活在人體內外的數兆微生物。
醫療 Medical,pathogenesis,n.,致病機制,Pathogenesis describes how a disease develops and progresses in the body.,致病機制描述疾病在體內如何發生與進展。
醫療 Medical,pharmacokinetics,n.,藥代動力學,"Pharmacokinetics studies how the body absorbs, distributes, metabolizes, and excretes drugs.",藥代動力學研究身體如何吸收、分布、代謝與排泄藥物。
醫療 Medical,prognosis,n.,預後 (對病情的預測),"With early detection, the prognosis for many types of cancer is positive.",透過早期發現，許多類型癌症的預後都是樂觀的。
醫療 Medical,sequencing,n.,(基因) 定序,Next-generation sequencing allows scientists to scan an entire genome quickly.,次世代定序讓科學家能夠快速掃描整個基因組。
醫療 Medical,stem cell,n.,幹細胞,Stem cell research holds great potential for regenerating damaged tissues.,幹細胞研究在再生受損組織方面具有巨大潛力。
醫療 Medical,virulence,n.,毒性；致病力,The virulence of the virus determines how severe the infection will be.,病毒的毒性決定了感染的嚴重程度。
