subject,word,pos,meaning,sentence e,sentence c,,,,,,,
物理 (力學) - Mechanics,pendulum,n.,單擺,A simple pendulum consists of a mass suspended from a pivot that swings back and forth.,單擺由懸掛在支點上來回擺動的質量所組成。,,,,,,,
物理 (力學) - Mechanics,period,n.,週期,The period is the time required for one complete cycle of a repeating motion.,週期是完成一個完整重複運動循環所需的時間。,,,,,,,
物理 (力學) - Mechanics,potential energy,n.,位能,Gravitational potential energy depends on an object's height and mass (mgh).,重力位能取決於物體的高度與質量 (mgh)。,,,,,,,
物理 (力學) - Mechanics,power,n.,功率,"Power is the rate at which work is done,measured in watts.","功率是做功的速率,單位為瓦特。",,,,,,,
物理 (力學) - Mechanics,scalar,n.,純量,A scalar is a physical quantity that has magnitude but no direction.,純量是只有大小沒有方向的物理量。,,,,,,,
物理 (力學) - Mechanics,simple harmonic motion,n.,簡諧運動,Simple harmonic motion is a type of periodic motion where restoring force is proportional to displacement.,簡諧運動是一種恢復力與位移成正比的週期性運動。,,,,,,,
物理 (力學) - Mechanics,static friction,n.,靜摩擦力,Static friction prevents an object from sliding when a force is first applied.,當最初施加力量時,,,,,,,
物理 (力學) - Mechanics,tension,n.,張力,"Tension is the pulling force transmitted through a string,rope, or cable.",張力是透過繩子或纜線傳遞的拉力。,,,,,,,
物理 (力學) - Mechanics,torque,n.,力矩,"Torque is the rotational equivalent of force,calculated as force times lever arm.","力矩是轉動中的力對應概念,計算方式為力乘以力臂。",,,,,,,
物理 (力學) - Mechanics,vector,n.,向量,A vector is a physical quantity that has both magnitude and direction.,向量是同時具有大小和方向的物理量。,,,,,,,
物理 (力學) - Mechanics,velocity,n.,速度,"Velocity is the rate of change of displacement with time,including direction.","速度是位移隨時間的變化率,包含方向。",,,,,,,
物理 (力學) - Mechanics,weight,n.,重量,"Weight is the force exerted on an object by gravity,calculated as W = mg.","重量是重力作用於物體的力,計算公式為 W = mg。",,,,,,,
物理 (力學) - Mechanics,work,n.,功,"Work is done when a force causes a displacement,calculated as W = F·d·cosθ.","功是當力使物體產生位移時所做的能量轉移,公式為 W = F·d·cosθ。",,,,,,,
物理 (力學) - Mechanics,work-energy theorem,n.,功-能定理,The work-energy theorem states that the net work done on an object equals its change in kinetic energy.,"功-能定理指出,對物體所做的淨功等於其動能的變化量。",,,,,,,
物理 (天體) - Astrophysics,astrophysics,n.,天體物理學,Astrophysics is the branch of astronomy that applies physics to understand celestial objects.,天體物理學是運用物理學理解天體的 astronomy 分支。,,,,,,,
物理 (天體) - Astrophysics,black hole,n.,黑洞,"A black hole has such strong gravity that nothing, not even light, can escape it. ","黑洞具有極強的重力,任何東西甚至連光都無法逃脫。",,,,,,,
物理 (天體) - Astrophysics,cosmic microwave background,n.,宇宙微波背景,The cosmic microwave background is the afterglow of the big bang.,宇宙微波背景是大爆炸的餘暉。,,,,,,,
物理 (天體) - Astrophysics,event horizon,n.,事件視界,The event horizon is the boundary around a black hole beyond which no escape is possible.,"事件視界是黑洞周圍的邊界,越過此界限便不可能逃脫。",,,,,,,
物理 (天體) - Astrophysics,exoplanet,n.,系外行星,Astronomers use the transit method to detect an exoplanet orbiting a distant star.,天文學家使用凌日法來探測圍繞遙遠恆星運行的系外行星。,,,,,,,
物理 (天體) - Astrophysics,galaxy,n.,星系,"A galaxy is a massive system of stars, gas, dust, and dark matter. ","星系是由恆星, 氣體, 塵埃和暗物質受重力束縛組成的巨大系統。",,,,,塵埃和暗物質受重力束縛組成的巨大系統。,,
物理 (天體) - Astrophysics,light-year,n.,光年,A light-year is the distance that light travels in a vacuum in one julian year.,光年是光在真空中一年所行進的距離。,,,,,,,
物理 (天體) - Astrophysics,luminosity,n.,光度,The luminosity of a star measures the total amount of energy it emits per second.,恆星的光度量測的是其每秒發射的總能量。,,,,,,,
物理 (天體) - Astrophysics,nebula,n.,星雲,A nebula is a giant cloud of dust and gas in space where new stars are born.,星雲是太空中產生新恆星的巨大塵埃與氣體雲。,,,,,,,
物理 (天體) - Astrophysics,supernova,n.,超新星,A supernova is the powerful and luminous explosion of a dying massive star.,超新星是一顆垂死的大質量恆星所發出的強大且明亮的爆炸。,,,,,,,
物理 (波/光) - Waves/Optics,amplitude,n.,振幅,Amplitude is the maximum displacement of a wave from its equilibrium position.,振幅是波從平衡位置的最大位移量。,,,,,,,
物理 (波/光) - Waves/Optics,diffraction,n.,繞射,Diffraction is the bending of waves around the corners of an obstacle or through an aperture.,繞射是波繞過障礙物角落或通過孔徑時產生的彎曲現象。,,,,,,,
物理 (波/光) - Waves/Optics,doppler effect,n.,都卜勒效應,The doppler effect causes the frequency of light or sound to change relative to an observer's motion.,都卜勒效應使光或聲音的頻率隨觀測者運動而改變。,,,,,,,
物理 (波/光) - Waves/Optics,focal length,n.,焦距,Focal length is the distance from a lens or mirror to its focal point.,焦距是從透鏡或鏡子到其焦點的距離。,,,,,,,
物理 (波/光) - Waves/Optics,interference,n.,干涉,Interference occurs when two waves superpose to form a resultant wave of greater or lower amplitude.,干涉發生在兩列波疊加形成振幅更強或更弱的合成波時。,,,,,,,
物理 (波/光) - Waves/Optics,lens,n.,透鏡,A lens is an optical device that focuses or disperses light by refraction.,透鏡是透過折射來聚焦或分散光線的光學裝置。,,,,,,,
物理 (波/光) - Waves/Optics,light,n.,光,Light is electromagnetic radiation that is visible to the human eye.,光是肉眼可見的電磁輻射。,,,,,,,
物理 (波/光) - Waves/Optics,longitudinal wave,n.,縱波,"In a longitudinal wave,the oscillation is parallel to the direction of wave travel.","在縱波中, 振盪方向與波的傳播方向平行。",,,,,,,
物理 (波/光) - Waves/Optics,mirror,n.,鏡子,A mirror is a surface that reflects light to form an image.,鏡子是反射光線以形成影像的表面。,,,,,,,
物理 (波/光) - Waves/Optics,polarization,n.,偏振,Polarization is the orientation of transverse wave oscillations in a specific direction.,偏振是橫波振盪在特定方向上的取向。,,,,,,,
物理 (波/光) - Waves/Optics,reflection,n.,反射,Reflection occurs when a wave bounces off a surface and changes direction.,"當波從表面反彈並改變方向時,就會發生反射。",,,,,,,
物理 (波/光) - Waves/Optics,refraction,n.,折射,Refraction occurs when light changes speed and direction as it enters a different medium.,"當光進入不同介質時,速度和方向發生改變,就會產生折射。",,,,,,,
物理 (波/光) - Waves/Optics,resonance,n.,共振,Resonance occurs when a system vibrates at its natural frequency due to an external force.,共振是系統因外力而以固有頻率振動的現象。,,,,,,,
物理 (波/光) - Waves/Optics,speed of light,n.,光速,The speed of light in a vacuum is approximately 3.0 × 10^8 meters per second.,真空中的光速約為每秒 3.0 × 10^8 公尺。,,,,,,,
物理 (波/光) - Waves/Optics,standing wave,n.,駐波,A standing wave is a wave that remains in a constant position with nodes and antinodes.,"駐波是位置固定不變,具有節點和反節點的波。",,,,,,,
物理 (波/光) - Waves/Optics,transverse wave,n.,橫波,"In a transverse wave,the oscillation is perpendicular to the direction of wave travel.","在橫波中,振盪方向與波的傳播方向垂直。",,,,,,,
物理 (波/光) - Waves/Optics,wave,n.,波,A wave is a disturbance that transfers energy through a medium or space.,波是透過介質或空間傳遞能量的擾動。,,,,,,,
物理 (波/光) - Waves/Optics,wavelength,n.,波長,Wavelength is the distance between two successive crests of a wave.,波長是波兩個連續波峰之間的距離。,,,,,,,
物理 (流體) - Fluid Mechanics,archimedes' principle,n.,阿基米德原理,Archimedes' principle states that the buoyant force on an object equals the weight of the fluid displaced.,阿基米德原理指出物體所受浮力等於其排開的流體重量。,,,,,,,
物理 (流體) - Fluid Mechanics,bernoulli's principle,n.,伯努利定律,Bernoulli's principle explains how the pressure of a fluid decreases as its speed increases.,"伯努利定律解釋了流體的速度增加時,其壓力如何減少。",,,,,,,
物理 (流體) - Fluid Mechanics,buoyancy,n.,浮力,Archimedes' principle explains how buoyancy allows heavy ships to float on water.,阿基米德原理解釋了浮力如何讓沈重的船隻漂浮在水面上。,,,,,,,
物理 (流體) - Fluid Mechanics,density,n.,密度,Density is mass per unit volume of a substance.,密度是物質單位體積的質量。,,,,,,,
物理 (流體) - Fluid Mechanics,laminar flow,n.,層流,"In laminar flow,layers of fluid slide smoothly over each other without mixing.","在層流中,流體層平滑地互相滑動而不混合。",,,,,,,
物理 (流體) - Fluid Mechanics,pascal's law,n.,帕斯卡定律,Pascal's law states that pressure applied to a confined fluid is transmitted equally in all directions.,"帕斯卡定律指出,施加於密閉流體的壓力會均勻地傳遞到各個方向。",,,,,,,
物理 (流體) - Fluid Mechanics,pressure,n.,壓力,"Pressure is force applied per unit area,measured in pascals.","壓力是單位面積上所施加的力,單位為帕斯卡。",,,,,,,
物理 (流體) - Fluid Mechanics,surface tension,n.,表面張力,Surface tension allows small insects like water striders to walk on water.,表面張力讓像水黽這樣的小昆蟲能在水面上行走。,,,,,,,
物理 (流體) - Fluid Mechanics,turbulence,n.,湍流；亂流,Air turbulence can cause a bumpy ride during a flight as wind speeds change abruptly.,"當風速突然改變時,空氣湍流會導致飛行過程中的顛簸。",,,,,,,
物理 (流體) - Fluid Mechanics,viscosity,n.,黏度,"Honey has a higher viscosity than water,meaning it flows much more slowly.","蜂蜜的黏度比水高,這意味著它流動得慢得多。",,,,,,,
物理 (熱學) - Thermodynamics,absolute zero,n.,絕對零度,"Absolute zero is the theoretical lowest possible temperature,0 kelvin.",絕對零度是理論上可能達到的最低溫度,,,,,,,
物理 (熱學) - Thermodynamics,celsius,n.,攝氏度,Celsius is a temperature scale where water freezes at 0 degrees and boils at 100 degrees.,"攝氏度是一種溫度尺度,即 0 克耳文。",,,,,,,
物理 (熱學) - Thermodynamics,conduction,n.,傳導,Conduction is the transfer of heat through direct contact between particles.,傳導是透過粒子之間直接接觸來傳遞熱量的方式。,,,,,,,
物理 (熱學) - Thermodynamics,convection,n.,對流,Convection is the transfer of heat by the movement of fluids.,對流是透過流體運動來傳遞熱量的方式。,,,,,,,
物理 (熱學) - Thermodynamics,entropy,n.,熵,Entropy is a measure of the disorder or randomness in a physical system.,熵是物理系統中混亂度或隨機性的度量。,,,,,,,
物理 (熱學) - Thermodynamics,first law of thermodynamics,n.,熱力學第一定律,"The first law of thermodynamics states that energy cannot be created or destroyed,only changed in form.","熱力學第一定律指出能量不能創造或消滅,只能改變形式。",,,,,,,
物理 (熱學) - Thermodynamics,heat,n.,熱,Heat is the transfer of thermal energy between objects due to a temperature difference.,熱是由於溫度差異而在物體之間傳遞的熱能。,,,,,,,
物理 (熱學) - Thermodynamics,heat capacity,n.,熱容量,Heat capacity is the amount of heat required to raise a substance's temperature by one degree Celsius.,熱容量是使物質溫度升高攝氏一度所需的熱量。,,,,,,,
物理 (熱學) - Thermodynamics,ideal gas law,n.,理想氣體定律,"The ideal gas law states that pv = nrt,relating pressure,volume,temperature,and amount of gas.","理想氣體定律指出 pv = nrt,關聯壓力,體積,溫度和氣體量。",,,,,關聯壓力,體積,溫度和氣體量。
物理 (熱學) - Thermodynamics,kelvin,n.,克耳文,"Kelvin is the SI base unit of temperature,with absolute zero at 0 K.","克耳文是溫度的 SI 基本單位,絕對零度為 0 K。",,,,,,,
物理 (熱學) - Thermodynamics,latent heat,n.,潛熱,Latent heat is the heat absorbed or released during a phase change without changing temperature.,潛熱是相變過程中吸收或釋放但不改變溫度的熱量。,,,,,,,
物理 (熱學) - Thermodynamics,radiation,n.,輻射,Radiation is the transfer of heat through electromagnetic waves without needing a medium.,"輻射是透過電磁波傳遞熱量,不需要介質。",,,,,,,
物理 (熱學) - Thermodynamics,second law of thermodynamics,n.,熱力學第二定律,The second law states that entropy of an isolated system always increases over time.,熱力學第二定律指出孤立系統的熵總是隨時間增加。,,,,,,,
物理 (熱學) - Thermodynamics,specific heat,n.,比熱,Specific heat is the heat required to raise the temperature of one gram of a substance by one degree Celsius.,比熱是使一公克物質溫度升高攝氏一度所需的熱量。,,,,,,,
物理 (熱學) - Thermodynamics,temperature,n.,溫度,Temperature is a measure of the average kinetic energy of particles in a substance.,溫度是物質粒子平均動能的量度。,,,,,,,
物理 (熱學) - Thermodynamics,thermal expansion,n.,熱膨脹,Thermal expansion is the tendency of matter to change its volume in response to a change in temperature.,熱膨脹是物質因溫度變化而改變體積的傾向。,,,,,,,
物理 (熱學) - Thermodynamics,thermodynamics,n.,熱力學,"Thermodynamics is the study of heat, work, temperature, and their relationship to energy.",熱力學研究熱，功，溫度及其與能量的關係。,,,,,溫度及其與能量的關係。,,
物理 (現代) - Modern Physics,half-life,n.,半衰期,Half-life is the time required for half of a radioactive substance to decay.,半衰期是放射性物質一半原子衰變所需的時間。,,,,,,,
物理 (現代) - Modern Physics,nuclear fission,n.,核分裂,Nuclear fission is the process of splitting a heavy nucleus into two lighter nuclei，releasing energy.,核分裂是將重原子核分裂為兩個較輕原子核並釋放能量的過程。,,,,,,,
物理 (現代) - Modern Physics,nuclear fusion,n.,核融合,Nuclear fusion powers the sun by combining light nuclei into heavier ones.,核融合是恆星（如太陽）將輕原子核結合成較重原子核並釋放能量的過程。,,,,,,,
物理 (現代) - Modern Physics,photoelectric effect,n.,光電效應,Einstein won the nobel prize for his explanation of the photoelectric effect.,愛因斯坦因解釋光電效應而獲得諾貝爾獎。,,,,,,,
物理 (現代) - Modern Physics,photon,n.,光子,"A photon is a discrete bundle or ""packet"" of electromagnetic energy.",光子是電磁能量的離散束或「包裹」。,,,,,,,
物理 (現代) - Modern Physics,radioactivity,n.,放射性,Radioactivity is the spontaneous emission of particles or energy from an unstable atomic nucleus.,放射性是不穩定的原子核自發性發射粒子或能量的現象。,,,,,,,
物理 (現代) - Modern Physics,relativity,n.,相對論,"The theory of relativity changed our understanding of space, time, and gravity.","相對論改變了我們對空間,時間和重力的理解。",,,,,,,
物理 (相對論) - Relativity,general relativity,n.,廣義相對論,General relativity describes gravity as the curvature of spacetime caused by mass and energy.,廣義相對論將重力描述為質量與能量造成的時空彎曲。,,,,,,,
物理 (相對論) - Relativity,gravitational lensing,n.,重力透鏡效應,Gravitational lensing occurs when a massive object bends the light from a distant star.,"當大質量天體彎曲了來自遙遠恆星的光時,就會發生重力透鏡效應。",,,,,,,
物理 (相對論) - Relativity,length contraction,n.,長度收縮,Length contraction is the phenomenon where a moving object appears shorter in its direction of motion.,長度收縮是運動物體在其運動方向上看似變短的現象。,,,,,,,
物理 (相對論) - Relativity,mass-energy equivalence,n.,質能等價,"E=mc2 expresses the mass-energy equivalence,showing that mass can be converted into energy.","E=mc2 表達了質能等價,說明質量可以轉化為能量。",,,,,,,
物理 (相對論) - Relativity,spacetime,n.,時空,"In general relativity,gravity is explained as the curvature of four-dimensional spacetime.","在廣義相對論中,重力被解釋為四維時空的彎曲。",,,,,,,
物理 (相對論) - Relativity,special relativity,n.,狹義相對論,Special relativity introduces the idea that time and space are linked for objects moving at high speeds.,狹義相對論提出了時間與空間對於高速運動物體而言是相互關聯的觀點。,,,,,,,
物理 (相對論) - Relativity,time dilation,n.,時間膨脹,"According to relativity,time dilation causes a moving clock to tick slower than a stationary one.","根據相對論,時間膨脹會導致移動中的時鐘比靜止的時鐘走得慢。",,,,,,,
物理 (量子) - Quantum Mechanics,boson,n.,玻色子,"Bosons are particles that do not obey the Pauli exclusion principle,such as photons.","玻色子是不遵守庖利不相容原理的粒子,例如光子。",,,,,,,
物理 (量子) - Quantum Mechanics,entanglement,n.,量子糾纏,Quantum entanglement occurs when particles become linked and affect each other instantaneously regardless of distance.,"量子糾纏發生在粒子相互連結時,無論距離多遠,它們都會瞬間互相影響。",,,,,,,
物理 (量子) - Quantum Mechanics,fermion,n.,費米子,"Fermions are particles that obey the Pauli exclusion principle,such as electrons.","費米子是遵守庖利不相容原理的粒子,例如電子。",,,,,,,
物理 (量子) - Quantum Mechanics,planck's constant,n.,普朗克常數,Planck's constant is a fundamental constant that relates energy to frequency in quantum mechanics.,普朗克常數是量子力學中聯繫能量與頻率的基本常數。,,,,,,,
物理 (量子) - Quantum Mechanics,quantum mechanics,n.,量子力學,Quantum mechanics is the branch of physics that deals with the behavior of subatomic particles.,量子力學是研究亞原子粒子行為的物理學分支。,,,,,,,
物理 (量子) - Quantum Mechanics,quantum number,n.,量子數,"Quantum numbers describe the properties of electrons in an atom,such as energy and angular momentum.","量子數描述原子中電子的性質,如能量和角動量。",,,,,,,
物理 (量子) - Quantum Mechanics,quantum state,n.,量子態,A quantum state represents the complete description of a physical system in quantum mechanics.,量子態是量子力學中對物理系統的完整描述。,,,,,,,
物理 (量子) - Quantum Mechanics,schrödinger's cat,n.,薛丁格的貓,Schrödinger's cat is a thought experiment used to illustrate the paradox of quantum superposition.,薛丁格的貓是一個用來描述量子疊加悖論的思想實驗。,,,,,,,
物理 (量子) - Quantum Mechanics,superposition,n.,疊加態,"In quantum computing,a qubit can exist in a state of superposition,being both 0 and 1 at once.","在量子計算中,量子位元可以存在於疊加態,同時是 0 也是 1。",,,,,,,
物理 (量子) - Quantum Mechanics,tunneling,n.,量子穿隧效應,Quantum tunneling allows particles to pass through energy barriers that should be impossible to cross.,量子穿隧效應允許粒子穿過原本被認為不可能越過的能量障礙。,,,,,,,
物理 (量子) - Quantum Mechanics,uncertainty principle,n.,不確定性原理,Heisenberg's uncertainty principle states that we cannot know both the position and momentum of a particle exactly.,"海森堡不確定性原理指出,我們無法同時精確得知一個粒子的位置與動量。",,,,,,,
物理 (量子) - Quantum Mechanics,wave function,n.,波函數,The wave function describes the quantum state of a particle and its probability distribution.,波函數描述粒子的量子態及其機率分布。,,,,,,,
物理 (量子) - Quantum Mechanics,wave-particle duality,n.,波粒二象性,"Light exhibits wave-particle duality,meaning it can behave as both a wave and a particle.","光展現出波粒二象性,意即它既能表現得像波",,,,,,,
物理 (電磁) - Electromagnetism,alternating current,n.,交流電,"Alternating current periodically reverses direction,as in household outlets.","交流電會週期性反轉方向,例如家用插座。",,,,,,,
物理 (電磁) - Electromagnetism,ampere's law,n.,安培定律,Ampere's law relates the magnetic field around a conductor to the electric current flowing through it.,安培定律將導體周圍的磁場與通過它的電流聯繫起來。,,,,,,,
物理 (電磁) - Electromagnetism,capacitance,n.,電容,Capacitance is the ability of a component to store an electrical charge.,電容是元件儲存電荷的能力。,,,,,,,
物理 (電磁) - Electromagnetism,circuit,n.,電路,An electric circuit is a closed loop through which electric current can flow.,電路是電流可以流動的封閉迴路。,,,,,,,
物理 (電磁) - Electromagnetism,coulomb's law,n.,庫侖定律,Coulomb's law describes the electrostatic force between two point charges.,庫侖定律描述兩個點電荷之間的靜電力。,,,,,,,
物理 (電磁) - Electromagnetism,dielectric,n.,介電質,A dielectric is an insulating material that can be polarized by an electric field.,介電質是可以被電場極化的絕緣材料。,,,,,,,
物理 (電磁) - Electromagnetism,direct current,n.,直流電,"Direct current flows in one direction only,such as from a battery.","直流電只朝一個方向流動,例如從電池流出。",,,,,,,
物理 (電磁) - Electromagnetism,electric charge,n.,電荷,Electric charge is a fundamental property of matter that causes it to experience a force in an electromagnetic field.,"電荷是物質的基本性質,使其在電磁場中受力。",,,,,,,
物理 (電磁) - Electromagnetism,electric current,n.,電流,Electric current is the flow of electric charge through a conductor.,電流是電荷通過導體的流動。,,,,,,,
物理 (電磁) - Electromagnetism,electric field,n.,電場,An electric field is a region around a charged particle where other charges experience a force.,電場是帶電粒子周圍其他電荷會受力的區域。,,,,,,,
物理 (電磁) - Electromagnetism,electric potential,n.,電位,Electric potential is the electric potential energy per unit charge at a point in space.,電位是空間中某點每單位電荷的電位能。,,,,,,,
物理 (電磁) - Electromagnetism,electromagnetic induction,n.,電磁感應,Faraday's law describes how a changing magnetic field creates electromagnetic induction.,法拉第定律描述了變化的磁場如何產生電磁感應。,,,,,,,
物理 (電磁) - Electromagnetism,electromagnetism,n.,電磁學,Electromagnetism is the study of the interaction between electric and magnetic fields.,電磁學是研究電場與磁場之間相互作用的學問。,,,,,,,
物理 (電磁) - Electromagnetism,faraday's law,n.,法拉第定律,Faraday's law states that a changing magnetic field induces an electromotive force.,法拉第定律指出變化的磁場會感應出電動勢。,,,,,,,
物理 (電磁) - Electromagnetism,gauss's law,n.,高斯定律,Gauss's law relates the electric flux through a closed surface to the charge enclosed.,高斯定律將封閉曲面的電通量與內部包圍的電荷聯繫起來。,,,,,,,
物理 (電磁) - Electromagnetism,inductance,n.,電感,Inductance is the property of a conductor that opposes changes in electric current.,電感是導體抵抗電流變化的性質。,,,,,,,
物理 (電磁) - Electromagnetism,lorentz force,n.,羅倫茲力,The lorentz force is the force on a charged particle moving through electric and magnetic fields.,羅倫茲力是帶電粒子在電場和磁場中運動時所受的力。,,,,,,,
物理 (電磁) - Electromagnetism,magnetic field,n.,磁場,A magnetic field is a region around a magnet or current-carrying wire where magnetic forces act.,磁場是磁鐵或載流導線周圍產生磁力作用的區域。,,,,,,,
物理 (電磁) - Electromagnetism,magnetic flux,n.,磁通量,Magnetic flux is a measure of the magnetic field passing through a given area.,磁通量是通過給定面積的磁場量度。,,,,,,,
物理 (電磁) - Electromagnetism,maxwell's equations,n.,馬克士威方程式,Maxwell's equations are a set of four equations that form the foundation of classical electromagnetism.,馬克士威方程式是四個構成古典電磁學基礎的方程式。,,,,,,,
物理 (電磁) - Electromagnetism,ohm's law,n.,歐姆定律,"According to ohm's law,voltage equals current times resistance (v=ir).","根據歐姆定律,電壓等於電流乘以電阻 (v=ir)。",,,,,,,
物理 (電磁) - Electromagnetism,resistance,n.,電阻,Resistance is a measure of how much a material opposes the flow of electric current.,電阻是材料對電流流動阻礙程度的量度。,,,,,,,
物理 (電磁) - Electromagnetism,transformer,n.,變壓器,A transformer is a device that changes the voltage of alternating current.,變壓器是改變交流電電壓的裝置。,,,,,,,
物理 (電磁) - Electromagnetism,voltage,n.,電壓,Voltage is the difference in electric potential between two points.,電壓是兩點之間的電位差。,,,,,,,
