subject,word,pos,meaning,sentence e,sentence c
商務信件 Business Correspondence,appreciate,v.,感謝；欣賞,We appreciate your prompt response and continued support.,我們感謝您的即時回覆與持續支持。
商務信件 Business Correspondence,at your earliest convenience,adv.,在您方便時儘早,Please review the document and respond at your earliest convenience.,請審核文件並在您方便時儘早回覆。
商務信件 Business Correspondence,attached,adj.,附件中的,The attached file contains the updated project timeline and budget breakdown.,附件檔案包含更新的專案時程與預算明細。
商務信件 Business Correspondence,best regards,n.,祝好；順頌商祺,Best regards is a professional and widely accepted closing for business emails.,「祝好」是商務郵件中專業且廣泛接受的結尾用語。
商務信件 Business Correspondence,confirm,v.,確認,Please confirm your attendance at the conference by replying to this email.,請回覆此郵件確認您是否出席會議。
商務信件 Business Correspondence,enclosed,adj.,隨函附上的,Please find the enclosed brochure for your review.,請查收隨函附上的簡介供您審核。
商務信件 Business Correspondence,follow up,v.,跟進；追蹤,I am writing to follow up on the quotation we sent last Monday.,我寫信是為了跟進我們上週一發送的報價單。
商務信件 Business Correspondence,further to,prep.,繼；關於（承接前信）,"Further to our conversation yesterday, I am pleased to confirm the meeting details.",繼我們昨天的談話，我很高興確認會議細節。
商務信件 Business Correspondence,grateful,adj.,感激的,We would be grateful if you could provide the requested information by Friday.,若您能在週五前提供所需資訊，我們將不勝感激。
商務信件 Business Correspondence,inquire,v.,詢問；查詢,We would like to inquire about the availability of bulk orders for next quarter.,我們想詢問下季度大宗訂單的供貨情況。
商務信件 Business Correspondence,look forward to,v.,期待,We look forward to hearing from you soon and establishing a long-term partnership.,我們期待盡快收到您的回覆並建立長期合作關係。
商務信件 Business Correspondence,regarding,prep.,關於；有關,I am writing regarding your inquiry about our new product line.,我寫信是關於您對我們新產品線的詢問。
商務信件 Business Correspondence,request,v./n.,請求；要求,We request that you submit the revised contract by the end of this week.,我們要求您在本週結束前提交修訂後的合約。
商務信件 Business Correspondence,with reference to,prep.,茲參照；關於,"With reference to your letter dated March 15, we have reviewed your proposal.",茲參照您 3 月 15 日的來信，我們已審核您的提案。
商業 (基礎) Business (Fundamentals),agenda,n.,議程,The meeting agenda includes budget review and project updates.,會議議程包含預算審查與專案更新。
商業 (基礎) Business (Fundamentals),business-to-consumer,n./adj.,企業對消費者 (b2c),B2c refers to the process of selling products and services directly between a business and consumers.,B2c 是指企業與消費者之間直接銷售產品和服務的過程。
商業 (基礎) Business (Fundamentals),competitive advantage,n.,競爭優勢,Innovation provides a strong competitive advantage in the rapidly changing tech industry.,在快速變化的科技產業中，創新提供了強大的競爭優勢。
商業 (基礎) Business (Fundamentals),conversion rate,n.,轉化率,"In digital marketing, the conversion rate measures the percentage of visitors who take a desired action.",在數位行銷中，轉化率量度了採取預期行動的訪客百分比。
商業 (基礎) Business (Fundamentals),correspondence,n.,書信往來,All business correspondence should be kept on file for at least three years.,所有商務書信往來應至少存檔三年。
商業 (基礎) Business (Fundamentals),deadline,n.,截止日期,Meeting the project deadline is crucial for client satisfaction.,按時完成專案截止日期對客戶滿意度至關重要。
商業 (基礎) Business (Fundamentals),entrepreneur,n.,企業家；創業家,An entrepreneur identifies opportunities and takes risks to start a new business.,企業家能發現商機並承擔風險來創辦新事業。
商業 (基礎) Business (Fundamentals),entrepreneurship,n.,創業精神,"Entrepreneurship is the activity of setting up a business, taking on financial risks in the hope of profit.",創業精神是指建立企業、承擔財務風險以期望獲利的活動。
商業 (基礎) Business (Fundamentals),franchise,n.,加盟；特許經營,A franchise allows an individual to operate a business under an established brand name.,加盟讓個人能在既有品牌下經營事業。
商業 (基礎) Business (Fundamentals),inquiry,n.,詢問；查詢,We received an inquiry about our new product line from a potential distributor.,我們收到一位潛在經銷商關於新產品線的詢問。
商業 (基礎) Business (Fundamentals),intellectual property,n.,智慧財產權,"Intellectual property includes intangible assets like patents, copyrights, and trademarks.",智慧財產權包括專利、著作權和商標等無形資產。
商業 (基礎) Business (Fundamentals),itinerary,n.,行程表,Please confirm your travel itinerary with the assistant before booking flights.,預訂機票前，請與助理確認您的行程表。
商業 (基礎) Business (Fundamentals),merchandise,n.,商品 (零售貨物),The retailer returned the damaged merchandise to the manufacturer for a refund.,零售商將受損的商品退回給製造商以要求退款。
商業 (基礎) Business (Fundamentals),merger and acquisition,n.,併購 (m&a),A merger and acquisition can help a company quickly expand into new markets.,併購可以幫助公司快速擴張到新市場。
商業 (基礎) Business (Fundamentals),minutes,n.,會議記錄,Please distribute the meeting minutes to all attendees within 24 hours.,請在 24 小時內將會議記錄分發給所有與會者。
商業 (基礎) Business (Fundamentals),negotiation,n.,談判；協商,"Successful negotiation requires preparation, patience, and clear communication.",成功的談判需要準備、耐心與清晰的溝通。
商業 (基礎) Business (Fundamentals),per diem,n.,每日津貼,Employees on business trips receive a per diem to cover meals and incidental expenses.,出差員工可獲得每日津貼以支付餐飲與雜項開支。
商業 (基礎) Business (Fundamentals),proposal,n.,提案；建議書,The marketing team submitted a detailed proposal for the upcoming campaign.,行銷團隊為即將展開的活動提交了一份詳細提案。
商業 (基礎) Business (Fundamentals),purchase,v./n.,購買；採購,The purchasing department is responsible for acquiring raw materials at the best price.,採購部門負責以最優價格取得原材料。
商業 (基礎) Business (Fundamentals),reimbursement,n.,費用報銷,Submit all receipts within 30 days for travel expense reimbursement.,請在 30 天內提交所有收據以申請差旅費用報銷。
商業 (基礎) Business (Fundamentals),retail,n./adj./adv.,零售,The retail price is usually higher than the wholesale price due to added margins.,由於增加了利潤空間，零售價通常高於批發價。
商業 (基礎) Business (Fundamentals),stakeholder,n.,利害關係人,A stakeholder is any individual or group affected by a company's actions.,利害關係人是任何受公司行動影響的個人或團體。
商業 (基礎) Business (Fundamentals),startup,n.,新創公司,A startup is a young company founded to develop a unique product or service.,新創公司是為了開發獨特產品或服務而成立的年輕企業。
商業 (基礎) Business (Fundamentals),swot analysis,n.,swot 分析,"A swot analysis evaluates a company's strengths, weaknesses, opportunities, and threats.",Swot 分析評估公司的優勢、劣勢、機會與威脅。
商業 (基礎) Business (Fundamentals),synergy,n.,綜效；協同效應,Corporate synergy occurs when the combined value of two companies is greater than the sum of their individual parts.,當兩家公司合併後的價值大於各自部分之和時，就會產生企業綜效。
商業 (基礎) Business (Fundamentals),telecommute,v.,遠端辦公,Many companies now allow employees to telecommute two days a week.,許多公司現在允許員工每週遠端辦公兩天。
商業 (基礎) Business (Fundamentals),vendor,n.,供應商；小販,The company evaluated several vendors before signing a long-term contract.,公司在簽署長期合約前評估了幾家供應商。
商業 (基礎) Business (Fundamentals),venture capital,n.,創業投資,Venture capital provides funding to early-stage companies with high growth potential.,創業投資為具有高成長潛力的早期公司提供資金。
商業 (基礎) Business (Fundamentals),wholesale,n./adj./adv.,批發,Buying in wholesale allows businesses to benefit from lower prices per unit.,批發購買讓企業能受益於較低的單位價格。
商業談判 Business Negotiation,active listening,n.,積極傾聽,Active listening helps negotiators understand the other party's underlying interests and concerns.,積極傾聽幫助談判者理解對方的潛在利益與顧慮。
商業談判 Business Negotiation,agenda,n.,議程,Both parties agreed on the negotiation agenda before the meeting began.,雙方在會議開始前已就談判議程達成一致。
商業談判 Business Negotiation,bargaining power,n.,議價能力,A company's bargaining power increases when it has few competitors and high demand.,當公司競爭對手少且需求高時，其議價能力會增強。
商業談判 Business Negotiation,binding,adj.,具約束力的,"Once signed, the agreement becomes legally binding on both parties.",一旦簽署，該協議即對雙方具有法律約束力。
商業談判 Business Negotiation,concession,n.,讓步；妥協,Making a small concession early can build goodwill and facilitate a final agreement.,早期做出小幅讓步能建立善意並促進最終協議。
商業談判 Business Negotiation,counteroffer,n.,還價；反提案,"After receiving our initial offer, the client submitted a counteroffer with revised pricing.",收到我們的初始報價後，客戶提交了修改定價的還價。
商業談判 Business Negotiation,deadlock,n.,僵局；陷入停滯,"When negotiations reached a deadlock, both sides agreed to take a short break.",當談判陷入僵局時，雙方同意短暫休息。
商業談判 Business Negotiation,finalize,v.,敲定；完成,We expect to finalize the contract details by the end of this month.,我們預計在本月底前敲定合約細節。
商業談判 Business Negotiation,leverage,n.,槓桿；優勢,We can use our long-term partnership as leverage to negotiate better payment terms.,我們可以將長期合作關係作為槓桿，協商更優的付款條件。
商業談判 Business Negotiation,mutually beneficial,adj.,互惠互利的,Our goal is to reach a mutually beneficial agreement that satisfies both parties.,我們的目標是達成滿足雙方的互惠協議。
商業談判 Business Negotiation,rapport,n.,融洽關係；默契,Building rapport early in the negotiation can create a more collaborative atmosphere.,在談判早期建立融洽關係能營造更具協作性的氛圍。
商業談判 Business Negotiation,term and condition,n.,條款與條件,Please review all terms and conditions carefully before signing the agreement.,簽署協議前請仔細審閱所有條款與條件。
商業談判 Business Negotiation,walk-away point,n.,底線；退出點,Knowing your walk-away point helps you avoid accepting unfavorable terms.,了解您的底線能幫助您避免接受不利條款。
商業談判 Business Negotiation,win-win,adj.,雙贏的,A win-win solution ensures that both parties feel satisfied with the outcome.,雙贏解決方案確保雙方都對結果感到滿意。
國貿 International Trade,free trade agreement,n.,自由貿易協定,A free trade agreement reduces or eliminates trade barriers between participating countries.,自由貿易協定減少或消除參與國之間的貿易壁壘。
國貿 International Trade,incoterms,n.,國際貿易術語,Incoterms define the responsibilities of buyers and sellers in international transactions.,國際貿易術語定義買賣雙方在國際交易中的責任。
國貿 International Trade,letter of credit,n.,信用狀,A letter of credit is a bank guarantee that a buyer will pay a seller on time.,信用狀是銀行保證買方將按時向賣方付款的憑證。
國貿 International Trade,tariff,n.,關稅,A tariff is a tax imposed on imported goods to protect domestic industries.,關稅是對進口商品徵收的稅，用以保護國內產業。
廣告 Advertising ,banner ad,n.,橫幅廣告,Banner ads are rectangular graphic displays that appear at the top or sides of webpages.,橫幅廣告是出現在網頁頂部或兩側的矩形圖形展示。
廣告 Advertising ,brand positioning,n.,品牌定位,Brand positioning defines how a company wants consumers to perceive its product relative to competitors.,品牌定位定義公司希望消費者如何相對於競爭對手看待其產品。
廣告 Advertising ,call to action,n.,行動呼籲,"A strong call to action encourages viewers to click, buy, or sign up immediately.",強有力的行動呼籲能鼓勵觀眾立即點擊、購買或註冊。
廣告 Advertising ,click-through rate,n.,點擊率 (ctr),Click-through rate measures the percentage of users who click on an ad after seeing it.,點擊率衡量看到廣告後點擊的用戶百分比。
廣告 Advertising ,conversion,n.,轉化,"A conversion occurs when a user completes a desired action, such as making a purchase after clicking an ad.",轉化發生在用戶完成預期行動時，例如點擊廣告後進行購買。
廣告 Advertising ,disclosure,n.,資訊揭露；免責聲明,"Advertising regulations require clear disclosure of terms, conditions, and potential risks.",廣告法規要求清楚揭露條款、條件與潛在風險。
廣告 Advertising ,endorsement,n.,代言；推薦,Celebrity endorsements can boost brand credibility but must comply with truth-in-advertising laws.,名人代言能提升品牌可信度，但必須符合廣告真實性法規。
廣告 Advertising ,impression,n.,曝光次數,"An impression is counted each time an ad is displayed to a user, regardless of clicks.",每次廣告向用戶顯示時即計為一次曝光，無論是否點擊。
廣告 Advertising ,target audience,n.,目標受眾,Identifying the target audience is the first step in creating an effective advertising campaign.,識別目標受眾是創建有效廣告活動的第一步。
數位轉型 Digital Transformation,artificial intelligence,n.,人工智慧 (ai),AI enables computers to perform tasks that typically require human intelligence.,人工智慧使電腦能執行通常需要人類智慧才能完成的任務。
數位轉型 Digital Transformation,big data,n.,大數據,Big data refers to extremely large datasets that can be analyzed to reveal patterns and trends.,大數據指可被分析以揭示模式與趨勢的極大型資料集。
數位轉型 Digital Transformation,blockchain,n.,區塊鏈,Blockchain is a decentralized digital ledger that records transactions across multiple computers.,區塊鏈是一種去中心化的數位帳本，可在多台電腦上記錄交易。
數位轉型 Digital Transformation,cloud computing,n.,雲端運算,"Cloud computing delivers computing services over the internet, reducing the need for on-premise infrastructure.",雲端運算透過網際網路提供運算服務，減少對本地基礎設施的需求。
數位轉型 Digital Transformation,digital disruption,n.,數位顛覆,Digital disruption occurs when new technologies fundamentally change how an industry operates.,數位顛覆發生在新技術根本改變產業運作方式時。
數位轉型 Digital Transformation,omnichannel,adj.,全通路,Omnichannel strategy provides a seamless customer experience across online and offline channels.,全通路策略提供線上與線下通路的無縫客戶體驗。
會計 (Accounting),accounts payable,n.,應付帳款,Accounts payable represent the money a company owes to its suppliers for purchases.,應付帳款代表公司因採購而欠供應商的款項。
會計 (Accounting),accrual,n.,應計項目,"Accrual accounting recognizes revenues and expenses when they are earned or incurred, not when cash changes hands.",應計會計在收入賺得或費用發生時認列，而非現金收付時。
會計 (Accounting),amortization,n.,攤銷,Amortization spreads the cost of an intangible asset over its useful life.,攤銷將無形資產的成本在其使用年限內分攤。
會計 (Accounting),asset,n.,資產,An asset is a resource with economic value that an individual or corporation owns or controls.,資產是個人或公司擁有或控制的具有經濟價值的資源。
會計 (Accounting),auditing,n.,審計,Regular auditing ensures that a company's financial statements are accurate and comply with regulations.,定期審計能確保公司的財務報表準確且符合法規。
會計 (Accounting),balance sheet,n.,資產負債表,"A balance sheet shows a company's assets, liabilities, and equity at a specific point in time.",資產負債表顯示公司在特定時間點的資產、負債與權益。
會計 (Accounting),cash flow statement,n.,現金流量表,The cash flow statement tracks the inflows and outflows of cash in a business.,現金流量表追蹤企業現金的流入與流出。
會計 (Accounting),depreciation,n.,折舊,Depreciation is an accounting method used to allocate the cost of a tangible asset over its useful life.,折舊是一種會計方法，用於在有形資產的使用壽命內分攤其成本。
會計 (Accounting),equity,n.,所有者權益；股本,Equity represents the amount of money that would be returned to shareholders if all assets were liquidated.,權益代表如果所有資產都清算，將返還給股東的金額。
會計 (Accounting),income statement,n.,損益表,"An income statement reports a company's revenues, expenses, and profits over a period.",損益表報告公司在一段期間內的收入、費用與利潤。
會計 (Accounting),internal control,n.,內部控制,Internal controls are procedures designed to ensure the accuracy of financial reporting.,內部控制是為確保財務報導準確性而設計的程序。
會計 (Accounting),inventory,n.,存貨；庫存,Keeping a high level of inventory can increase storage costs for a business.,保持高水準的存貨可能會增加企業的倉儲成本。
會計 (Accounting),journal entry,n.,分錄,A journal entry records a financial transaction in chronological order.,分錄依時間順序記錄財務交易。
會計 (Accounting),ledger,n.,分類帳,A ledger is a book or digital record containing all financial transactions of a business.,分類帳是記錄企業所有財務交易的簿冊或數位記錄。
會計 (Accounting),liability,n.,負債,"A liability is something a person or company owes, usually a sum of money.",負債是個人或公司所欠的債務，通常是一筆金錢。
會計 (Accounting),materiality,n.,重要性,Materiality refers to the significance of an amount or item in financial statements.,重要性指金額或項目在財務報表中的顯著程度。
管理 (Management),benchmarking,n.,標竿學習,Benchmarking involves comparing business processes to industry best practices.,標竿學習涉及將企業流程與業界最佳實踐進行比較。
管理 (Management),blue ocean strategy,n.,藍海策略,Blue ocean strategy focuses on creating new market space rather than competing in existing markets.,藍海策略著重於開創新的市場空間，而非在現有市場中競爭。
管理 (Management),capacity planning,n.,產能規劃,Capacity planning ensures that a company has the resources to meet future demand.,產能規劃確保公司擁有滿足未來需求的資源。
管理 (Management),core competency,n.,核心能力,A core competency is a unique strength that gives a company a competitive advantage.,核心能力是賦予公司競爭優勢的獨特優勢。
管理 (Management),corporate social responsibility,n.,企業社會責任 (csr),Corporate social responsibility encourages businesses to act in ways that benefit society and the environment.,企業社會責任鼓勵企業以造福社會和環境的方式運作。
管理 (Management),delegation,n.,授權,Delegation is the assignment of authority and responsibility to subordinates.,授權是將權力與責任指派給下屬的過程。
管理 (Management),economies of scale,n.,規模經濟,Economies of scale are cost advantages that enterprises obtain due to their scale of operation.,規模經濟是企業由於其經營規模而獲得的成本優勢。
管理 (Management),emotional intelligence,n.,情緒智商,Emotional intelligence is the ability to recognize and manage one's own and others' emotions.,情緒智商是識別與管理自己及他人情緒的能力。
管理 (Management),just-in-time,adj./adv.,準時制 (jit),The just-in-time inventory system aims to reduce waste by receiving goods only as they are needed.,準時制庫存系統旨在透過僅在需要時接收貨物來減少浪費。
管理 (Management),logistics,n.,物流,Efficient logistics ensure that products reach customers on time and in good condition.,高效的物流確保產品能準時且完好地送達客戶手中。
管理 (Management),matrix structure,n.,矩陣式組織,A matrix structure combines functional and product-based reporting lines.,矩陣式組織結合職能與產品導向的匯報路線。
管理 (Management),organizational culture,n.,組織文化,Organizational culture consists of the shared values and beliefs that govern how people behave in a company.,組織文化由引導公司員工行為的共同價值觀和信念組成。
管理 (Management),outsourcing,n.,外包,Outsourcing involves hiring an outside party to perform services or create goods.,外包涉及聘請外部第三方來提供服務或製造產品。
管理 (Management),performance appraisal,n.,績效評估,A performance appraisal is a regular review of an employee's job performance and contribution.,績效評估是對員工工作表現和貢獻的定期審核。
管理 (Management),procurement,n.,採購 (正式流程),Strategic procurement helps companies manage their supplier relationships effectively.,戰略性採購有助於公司有效管理其供應商關係。
管理 (Management),span of control,n.,管理幅度,Span of control refers to the number of subordinates a manager can effectively supervise.,管理幅度指一位管理者能有效監督的下屬人數。
管理 (Management),supply chain,n.,供應鏈,Managing the supply chain effectively can significantly reduce a company's operating costs.,有效管理供應鏈可以顯著降低公司的營運成本。
管理 (Management),total quality management,n.,全面品質管理 (tqm),TQM is a management approach focused on continuous improvement and customer satisfaction.,全面品質管理是一種著重持續改進與客戶滿意度的管理方法。
管理 (Management),transformational leadership,n.,變革型領導,Transformational leadership inspires employees to exceed expectations and embrace change.,變革型領導能激勵員工超越預期並擁抱變革。
經濟 (Economics),balance of payments,n.,國際收支,The balance of payments records all economic transactions between a country and the rest of the world.,國際收支記錄一國與世界其他地區之間的所有經濟交易。
經濟 (Economics),business cycle,n.,商業週期,The business cycle refers to the fluctuations in economic activity over time.,商業週期指經濟活動隨時間的波動。
經濟 (Economics),commodity,n.,商品 (大宗物資),"Gold, oil, and wheat are common examples of a traded commodity.",黃金、石油和小麥是常見的交易大宗商品。
經濟 (Economics),comparative advantage,n.,比較利益,Comparative advantage explains why countries benefit from specializing in goods they can produce more efficiently.,比較利益解釋了為什麼國家能從專業化生產其效率較高的商品中獲益。
經濟 (Economics),consumer sovereignty,n.,消費者主權,Consumer sovereignty suggests that consumer preferences determine which goods are produced.,消費者主權認為消費者的偏好決定了生產哪些商品。
經濟 (Economics),consumption,n.,消費,Personal consumption is the largest component of gdp in many developed nations.,在許多發達國家中，個人消費是 gdp 最大的組成部分。
經濟 (Economics),deflation,n.,通貨緊縮,"Deflation is a general decline in prices, which can lead to a decrease in consumer spending.",通貨緊縮是價格的普遍下降，可能導致消費者支出減少。
經濟 (Economics),demand,n.,需求,"When the price of a luxury good decreases, the consumer demand typically increases.",當奢侈品價格下降時，消費者需求通常會增加。
經濟 (Economics),elasticity,n.,彈性,Price elasticity of demand measures how much the quantity demanded responds to a change in price.,需求價格彈性量度了需求量對價格變動的反應程度。
經濟 (Economics),exchange rate,n.,匯率,The exchange rate determines how much one currency is worth in terms of another.,匯率決定一種貨幣相對於另一種貨幣的價值。
經濟 (Economics),fiscal policy,n.,財政政策,Fiscal policy uses government spending and taxation to influence the economy.,財政政策運用政府支出與稅收來影響經濟。
經濟 (Economics),government spending,n.,政府支出,"Government spending includes all government consumption, investment, and transfer payments.",政府支出包括所有政府消費、投資和轉移支付。
經濟 (Economics),gross domestic product,n.,國內生產總值 (gdp),Gross domestic product is the total value of all goods and services produced within a country in a specific period.,國內生產總值是指一個國家在特定時期內生產的所有產品和服務的總價值。
經濟 (Economics),hyperinflation,n.,惡性通貨膨脹,Hyperinflation occurs when a country experiences very high and accelerating rates of inflation.,當一個國家的通貨膨脹率極高且不斷加速時，就會發生惡性通貨膨脹。
經濟 (Economics),inflation,n.,通貨膨脹,Inflation reduces the purchasing power of money over time as prices rise.,隨著價格上漲，通貨膨脹會隨時間降低貨幣的購買力。
經濟 (Economics),investment,n.,投資 (gdp組成),"In economics, investment refers to the purchase of goods that are used to create future wealth.",在經濟學中，投資是指購買用於創造未來財富的商品。
經濟 (Economics),marginal utility,n.,邊際效用,Marginal utility is the additional satisfaction gained from consuming one more unit of a good.,邊際效用是從多消費一單位商品中獲得的額外滿足感。
經濟 (Economics),market equilibrium,n.,市場均衡,Market equilibrium occurs when the quantity supplied equals the quantity demanded at a certain price.,當某一價格下的供給量等於需求量時，即達到市場均衡。
經濟 (Economics),monetary policy,n.,貨幣政策,The central bank adjusted its monetary policy to control inflation by raising interest rates.,中央銀行透過提高利率來調整其貨幣政策，以控制通貨膨脹。
經濟 (Economics),monopoly,n.,壟斷；獨佔,A monopoly exists when a single company is the only supplier of a particular commodity.,當一家公司是特定商品的唯一供應商時，就存在壟斷。
經濟 (Economics),multiplier effect,n.,乘數效應,The multiplier effect describes how an initial change in spending leads to a larger change in GDP.,乘數效應描述初始支出變化如何導致更大的國內生產總值變化。
經濟 (Economics),net exports,n.,淨出口,Net exports are calculated by subtracting the total value of imports from the total value of exports.,淨出口是透過從出口總值中減去進口總值來計算的。
經濟 (Economics),oligopoly,n.,寡頭壟斷,"In an oligopoly, a small number of large firms dominate the market.",在寡頭壟斷中，少數幾家大公司主導市場。
經濟 (Economics),opportunity cost,n.,機會成本,Opportunity cost is the value of the next best alternative given up when making a choice.,機會成本是在做出選擇時所放棄的次優替代方案的價值。
經濟 (Economics),perfect competition,n.,完全競爭,Perfect competition is a theoretical market structure where no single firm can influence prices.,完全競爭是一種理論上的市場結構，單一公司無法影響價格。
經濟 (Economics),price discrimination,n.,差別定價,Price discrimination occurs when a firm charges different prices to different customers for the same product.,差別定價發生在企業對相同產品向不同顧客收取不同價格時。
經濟 (Economics),scarcity,n.,稀缺性,Scarcity is the fundamental economic problem of having seemingly unlimited human wants in a world of limited resources.,稀缺性是基本的經濟問題，即在資源有限的世界中存在著看似無限的人類慾望。
經濟 (Economics),shortage,n.,短缺,A shortage happens when the demand for a product exceeds its available supply.,當產品需求超過其可用供給時，就會發生短缺。
經濟 (Economics),supply,n.,供給,The law of supply states that producers are willing to sell more of a product at a higher price.,供給法則指出，生產者願意在高價時銷售更多產品。
經濟 (Economics),surplus,n.,剩餘；盈餘,"A market surplus occurs when the price is set above the equilibrium level, leading to excess supply.",當價格設定高於均衡水準時，會導致供給過剩，產生市場剩餘。
經濟 (Economics),trade deficit,n.,貿易逆差,A trade deficit occurs when a country imports more goods and services than it exports.,貿易逆差發生在一個國家進口的商品與服務多於出口時。
行銷 (Marketing),brand awareness,n.,品牌知名度,Brand awareness measures how familiar consumers are with a particular brand.,品牌知名度衡量消費者對特定品牌的熟悉程度。
行銷 (Marketing),brand equity,n.,品牌價值,Strong brand equity allows a company to charge a premium price for its products.,強大的品牌價值使公司能夠對其產品收取溢價。
行銷 (Marketing),buyer persona,n.,買家人物誌,A buyer persona is a semi-fictional representation of an ideal customer based on market research.,買家人物誌是基於市場研究對理想客戶的半虛構描述。
行銷 (Marketing),click-through rate,n.,點擊率 (ctr),Click-through rate measures the percentage of people who click on an ad after seeing it.,點擊率衡量看到廣告後點擊的人數百分比。
行銷 (Marketing),consumer behavior,n.,消費者行為,Understanding consumer behavior is essential for developing effective marketing campaigns.,了解消費者行為對於制定有效的行銷活動至關重要。
行銷 (Marketing),customer acquisition cost,n.,客戶取得成本 (cac),CAC is the total cost of sales and marketing efforts to acquire a new customer.,客戶取得成本是為獲取新客戶所投入的銷售與行銷總成本。
行銷 (Marketing),customer journey,n.,客戶旅程,The customer journey maps all touchpoints a consumer experiences with a brand.,客戶旅程描繪消費者與品牌互動的所有接觸點。
行銷 (Marketing),customer loyalty,n.,客戶忠誠度,Excellent customer service is key to building long-term customer loyalty.,優異的客戶服務是建立長期客戶忠誠度的關鍵。
