subject,word,pos,meaning,sentence e,sentence c
 academic,paraphrase,v./n.,改寫；轉述,A paraphrase restates the original idea in the writer's own words while maintaining accuracy.,改寫是用作者自己的話重述原意，同時保持準確性。
 academic,plagiarism,v.,改寫；轉述,"When you paraphrase, you must rewrite the idea completely in your own words.",改寫時，必須用自己的話完全重述該想法。
 academic,primary source,n.,抄襲；剽竊,Plagiarism is presenting someone else's work as your own.,抄襲是將他人的作品當作自己的呈現。
 academic,quotation block,n.,一手資料；原始資料,A primary source provides direct evidence about a topic.,一手資料提供關於主題的直接證據。
 academic,rebuttal,n.,整段引用,Long quotations exceeding four lines should be formatted as a block quotation.,超過四行的長引用應排版為整段引用格式。
 academic,secondary source,n.,反駁；辯駁,The rebuttal uses logical reasoning to dismantle the opposing view.,反駁部分運用邏輯推理來推翻對立觀點。
 academic,signpost,n.,二手資料；間接資料,A secondary source analyzes or interprets primary sources.,二手資料分析或詮釋一手資料。
 academic,source triangulation,n.,路標詞；指引,"Signposts like 'firstly,' 'conversely,' and 'ultimately' guide readers through the argument.",像「首先」、「相反地」和「最終」這類路標詞能引導讀者理解論證脈絡。
 academic,stance marker,n.,資料三角驗證,Source triangulation strengthens credibility by cross-referencing multiple independent sources.,資料三角驗證透過交叉比對多個獨立來源來提升可信度。
 academic,synthesis,n.,立場標記詞,"Stance markers like 'arguably,' 'undoubtedly,' or 'it seems' reveal the writer's position.",立場標記詞（如「可說」、「無疑」、「似乎」）揭示作者的立場。
 academic,thematic paragraph,n.,綜合；整合,Synthesis involves combining multiple sources to create a new perspective.,綜合是指整合多個來源以創造新的觀點。
 academic,thesis statement,n.,主題段,Thematic paragraphs organize ideas by concept rather than chronologically.,主題段按概念而非時間順序來組織觀點。
 academic,Toulmin model,n.,論文主旨句,The thesis statement clearly outlines the argument and scope of the paper.,論文主旨句清楚勾勒出文章的論點與範圍。
 academic,transitional hook,n.,圖爾敏論證模型,"The Toulmin model breaks arguments into claim, data, warrant, backing, and rebuttal.",圖爾敏模型將論證拆解為主張、資料、理據、支撐與反駁。
 academic,warrant,n.,過渡鉤子；承上啟下句,A transitional hook at the end of a paragraph links to the next section's topic.,段落結尾的過渡鉤子能將內容連結至下一節的主題。
 argumentation,assertion,n.,理據；橋接論證,The warrant explains how the evidence logically supports the claim.,理據解釋證據如何在邏輯上支持主張。
 argumentation,bias,n.,主張；斷言,The critic's assertion that the movie was a failure sparked much debate.,評論家關於這部電影是失敗之作的主張引發了許多辯論。
 argumentation,concede,n.,偏見；偏向,Recognizing bias helps readers evaluate sources critically.,識別偏見有助於讀者批判性地評估資料來源。
 argumentation,credibility,v.,讓步；承認(屬實),"Although he disagreed, he had to concede that his opponent made a valid point.",儘管他不同意，但他不得不承認對手的觀點是有道理的。
 argumentation,fallacy,n.,可信度；可靠性,The credibility of a source depends on its accuracy and authority.,資料來源的可信度取決於其準確性與權威性。
 argumentation,premise,n.,謬誤,The politician's speech was criticized for containing several logical fallacies.,這位政治家的演說因包含多個邏輯謬誤而受到批評。
 argumentation,refute,n.,前提,The entire argument is based on the premise that all men are created equal.,整個論點都建立在人人生而平等的前提之上。
 argumentation,substantiate,v.,反駁,The lawyer presented new evidence to refute the witness's testimony.,律師提出了新證據來反駁證人的證詞。
 argumentation,thesis,v.,證實,You must provide specific examples to substantiate your claims in the essay.,你必須提供具體例子來證實你在文章中的主張。
 character-analysis,agency,n.,論點；主旨,The thesis of the paper is clearly stated in the introduction.,論文的論點在引言中清楚陳述。
 character-analysis,antagonist,n.,能動性；自主性,Feminist criticism examines how female characters exercise agency within patriarchal constraints.,女性主義批評檢視女性角色如何在父權限制下展現能動性。
 character-analysis,anti-hero,n.,反派；對立角色,The antagonist opposes the protagonist and creates conflict.,反派與主角對立並製造衝突。
 character-analysis,archetype,n.,反英雄,The anti-hero lacks traditional heroic qualities like courage and idealism.,反英雄缺乏勇氣與理想主義等傳統英雄特質。
 character-analysis,character arc,n.,原型,The wise old mentor is a common archetype across cultures.,智慧長者是全球文化中常見的原型。
 character-analysis,character development,n.,角色弧線,The character arc traces the protagonist's emotional journey from fear to courage.,角色弧線描繪主角從恐懼到勇氣的情感旅程。
 character-analysis,character flaw,n.,角色發展；人物塑造,Effective character development makes readers care about the protagonist's fate.,有效的角色發展讓讀者關心主角的命運。
 character-analysis,character motivation,n.,角色缺陷,Pride is the fatal character flaw that leads to the hero's downfall.,驕傲是導致英雄毀滅的致命角色缺陷。
 character-analysis,character revelation,n.,角色動機,Understanding character motivation helps readers predict actions and interpret choices.,理解角色動機有助於讀者預測行為並解讀選擇。
 character-analysis,characterization,n.,角色揭露；性格展現,The letter serves as a key moment of character revelation.,這封信是角色揭露的關鍵時刻。
 character-analysis,confidant,n.,人物塑造（總稱）,"Through subtle characterization, the author makes even minor characters memorable.",透過細膩的人物塑造，作者讓即使是次要角色也令人難忘。
 character-analysis,deuteragonist,n.,知心角色；傾訴對象,The confidant allows the protagonist to reveal inner thoughts through dialogue.,知心角色讓主角能透過對話揭露內心想法。
 character-analysis,direct characterization,n.,第二主角,The deuteragonist plays a crucial supporting role to the protagonist.,第二主角對主角扮演關鍵的輔助角色。
 character-analysis,dynamic character,n.,直接人物塑造,Direct characterization tells the reader explicitly what a character is like.,直接人物塑造明確告訴讀者角色是什麼樣的人。
 character-analysis,epiphany,n.,動態人物,A dynamic character changes significantly over the course of the story.,動態人物在故事過程中發生顯著變化。
 character-analysis,external conflict,n.,頓悟；靈光乍現,The protagonist experiences an epiphany that changes his worldview.,主角經歷了一次頓悟，改變了他的世界觀。
 character-analysis,flat character,n.,外部衝突,External conflict arises when the character faces opposition from society or nature.,當角色面臨社會或自然的對立時，便產生外部衝突。
 character-analysis,foil,n.,扁平人物,A flat character represents a single trait without psychological depth.,扁平人物代表單一特質，缺乏心理深度。
 character-analysis,indirect characterization,n.,襯托角色,The optimistic friend serves as a foil to highlight the protagonist's cynicism.,樂觀的朋友作為襯托角色，凸顯主角的憤世嫉俗。
 character-analysis,internal conflict,n.,間接人物塑造,"Indirect characterization reveals personality through actions, speech, and thoughts.",間接人物塑造透過行為、言語和思想來揭示性格。
 character-analysis,marginalization,n.,內心衝突,The protagonist's internal conflict between duty and desire drives the narrative.,主角在責任與慾望之間的內心衝突推動了敘事。
 character-analysis,protagonist,n.,邊緣化,The story explores the marginalization of minority characters in mainstream society.,這個故事探討少數族群角色在主流社會中的邊緣化。
 character-analysis,psychological depth,n.,主角,The protagonist drives the main action of the story.,主角推動故事的主要行動。
 character-analysis,round character,n.,心理深度,The novel is praised for its psychological depth in portraying the heroine's inner turmoil.,這部小說因在描繪女主角內心掙扎時展現的心理深度而受到讚譽。
 character-analysis,social context,n.,圓形人物,A round character has complexity and undergoes development.,圓形人物具有複雜性並會經歷發展。
 character-analysis,static character,n.,社會脈絡；時代背景,Analyzing a character requires understanding the social context of their time.,分析角色需要理解其所處時代的社會脈絡。
 character-analysis,stock character,n.,靜態人物,A static character remains largely unchanged from beginning to end.,靜態人物從頭到尾基本保持不變。
 character-analysis,tragic flaw,n.,定型角色,The clever servant is a stock character in commedia dell'arte.,聰明的僕人是即興喜劇中的定型角色。
 character-analysis,tragic hero,n.,悲劇缺陷；致命缺陷,Hubris is often the tragic flaw in Greek tragedies.,傲慢往往是希臘悲劇中的悲劇缺陷。
 critics,ambivalent,n.,悲劇英雄,A tragic hero is a noble character whose flaw leads to downfall.,悲劇英雄是一位高貴的角色，其缺陷導致毀滅。
 critics,analyze,adj.,矛盾曖昧的,The narrator's attitude toward the hero remains ambivalent throughout the novel.,敘事者對英雄的態度在整部小說中始終矛盾曖昧。
 critics,articulate,v.,分析,Students must learn to analyze the author's use of language.,學生必須學會分析作者的語言運用。
 critics,canon,v.,清晰表達；體現,The novel articulates the anxiety of post-war generation.,這部小說清晰表達了戰後一代的焦慮。
 critics,contextualize,n.,文學經典,The Western literary canon includes works by Shakespeare and Dante.,西方文學經典包括莎士比亞和但丁的作品。
 critics,deconstruction,v.,脈絡化；置於背景中理解,"To understand the poem, we must contextualize it within the Romantic era.",要理解這首詩，我們必須將其置於浪漫主義時代的脈絡中。
 critics,diegesis,n.,解構,Deconstruction challenges the binary oppositions in a text.,解構挑戰文本中的二元對立。
 critics,ecocriticism,n.,敘事世界；故事內虛構世界,The diegesis includes everything that exists within the story's world.,敘事世界包含了故事世界內存在的一切。
 critics,feminist criticism,n.,生態批評,Ecocriticism investigates the relationship between literature and the natural world.,生態批評研究文學與自然世界之間的關係。
 critics,foreground,n.,女性主義批評,Feminist criticism examines how gender shapes literary texts.,女性主義批評探討性別如何形塑文學文本。
 critics,hegemony,v.,前景化；凸顯,The close-up shots foreground the character's emotional turmoil.,特寫鏡頭凸顯了角色內心的情感混亂。
 critics,hermeneutics,n.,霸權；文化主導權,Cultural hegemony maintains power through consent rather than force.,文化霸權透過同意而非武力來維持權力。
 critics,intertextuality,n.,詮釋學,Hermeneutics is the theory of interpretation in literary studies.,詮釋學是文學研究中的解釋理論。
 critics,marxist criticism,n.,互文性,The novel's intertextuality with Greek myths adds layers of meaning.,這部小說與希臘神話的互文性增添了多重意義。
 critics,mimesis,n.,馬克思主義批評,Marxist criticism examines how texts reflect class struggle and economic power.,馬克思主義批評檢視文本如何反映階級鬥爭和經濟權力。
 critics,new historicism,n.,模仿；擬真,Aristotle viewed drama as an act of mimesis imitating human action.,亞里斯多德將戲劇視為模仿人類行動的行為。
 critics,nuanced,n.,新歷史主義,New historicism reads literary texts alongside historical documents of the same period.,新歷史主義將文學文本與同期歷史文獻並行解讀。
 critics,post-structuralism,adj.,細緻入微的,The critic offered a nuanced reading of the film's ambiguous ending.,評論家對電影模棱兩可的結局提出了細緻入微的解讀。
 critics,postcolonial criticism,n.,後結構主義,Post-structuralism challenges the idea of fixed meanings in language and texts.,後結構主義挑戰語言和文本中存在固定意義的觀念。
 critics,problematize,n.,後殖民批評,Postcolonial criticism analyzes literature from formerly colonized nations.,後殖民批評分析來自前殖民地國家的文學。
 critics,psychoanalytic criticism,v.,問題化；質疑,The documentary problematizes the simple narrative of technological progress.,這部紀錄片對科技進步的簡單敘事提出了質疑。
 critics,queer theory,n.,精神分析批評,Psychoanalytic criticism explores characters' unconscious desires.,精神分析批評探索角色的無意識慾望。
 critics,reader-response criticism,n.,酷兒理論,Queer theory challenges normative assumptions about gender and sexuality.,酷兒理論挑戰關於性別與性向的規範性假設。
 critics,reinforce,n.,讀者反應批評,Reader-response criticism argues that a text's meaning is co-created by the reader.,讀者反應批評主張文本的意義是由讀者共同創造的。
 critics,representation,v.,強化；鞏固,The fairy tale reinforces the virtue of kindness and punishes cruelty.,這則童話強化了善良的美德並懲罰殘酷。
 critics,stereotype,n.,再現；表征,Media representation shapes public perception of social groups.,媒體再現形塑了大眾對社會群體的認知。
 critics,structuralism,n.,刻板印象,The play challenges racial stereotypes by presenting complex minority characters.,這部戲劇透過呈現複雜的少數族裔角色來挑戰種族刻板印象。
 critics,subvert,n.,結構主義,Structuralism analyzes the underlying systems and patterns that shape a text.,結構主義分析塑造文本的潛在系統和模式。
 critics,undermine,v.,顛覆；推翻,The novel subverts the traditional hero's journey by making the hero fail.,這部小說透過讓英雄失敗來顛覆傳統的英雄旅程。
 critics,verisimilitude,v.,削弱；暗中破壞,The author uses irony to undermine the protagonist's supposed wisdom.,作者運用反諷來削弱主角自以為是的智慧。
 drama,absurdist theatre,n.,真實感；似真性,The novel achieves verisimilitude through detailed historical research.,這部小說透過詳細的歷史研究達到了真實感。
 drama,aside,n.,荒誕派戲劇,"Samuel Beckett's ""Waiting for Godot"" is a classic example of absurdist theatre.",塞繆爾·貝克特的《等待戈多》是荒誕派戲劇的經典範例。
 drama,blocking,n.,旁白,"In a stage whisper, the character says an aside to the audience.",角色以舞台低語對觀眾說出一段旁白。
 drama,catharsis,n.,走位；舞台調度,The director spent an hour blocking the opening scene for the actors.,導演花了一小時為演員們排練開場戲的走位。
 drama,chorus,n.,情感淨化；宣洩,Audiences experience catharsis as the tragic hero accepts his fate.,當悲劇英雄接受命運時，觀眾經歷了情感淨化。
 drama,comedy,n.,歌隊；合唱歌隊,The chorus in Greek tragedy comments on the action and provides background information.,希臘悲劇中的歌隊評論劇情並提供背景訊息。
 drama,commedia dell'arte,n.,喜劇,"Shakespeare's ""A Midsummer Night's Dream"" is a romantic comedy.",莎士比亞的《仲夏夜之夢》是一部浪漫喜劇。
 drama,costume design,n.,即興喜劇；義大利即興喜劇,Commedia dell'arte features stock characters like Harlequin and Pantalone.,即興喜劇以丑角和潘塔隆內等定型角色為特色。
 drama,cross-cutting,n.,服裝設計,The costume design for the period drama required extensive historical research.,這部時代劇的服裝設計需要大量的歷史研究。
 drama,dialogue,n.,交叉剪輯；場景交錯,The director used cross-cutting to show the parallel lives of the two protagonists.,導演運用交叉剪輯來展示兩位主角平行的人生。
 drama,direct address,n.,對話,The dialogue reveals the characters' true intentions.,對話揭示了角色的真實意圖。
 drama,ensemble,n.,直接對白；直接對觀眾說話,"By using direct address, the villain shared his evil plan with the audience.",惡棍透過直接對白向觀眾分享他的邪惡計畫。
 drama,epic theatre,n.,合奏；劇團；全體演員,The ensemble worked together seamlessly to create a powerful performance.,全體演員無縫合作，共同創造了一場動人的演出。
 drama,farce,n.,史詩劇場,Bertolt Brecht developed epic theatre to encourage audiences to think critically rather than emotionally.,貝托爾特·布萊希特發展史詩劇場是為了鼓勵觀眾理性思考而非情感投入。
 drama,fourth wall,n.,鬧劇,The play's mistaken identities and slapstick make it a classic farce.,這齣戲的錯認身份與鬧劇式搞笑使其成為經典鬧劇。
 drama,hot-seating,n.,第四面牆,The actor broke the fourth wall by winking at the audience.,那位演員對著觀眾眨眼，打破了第四面牆。
 drama,improvisation,n.,熱椅提問,The teacher used hot-seating to help students explore their character's motivations.,老師使用熱椅提問來幫助學生探索他們角色的動機。
 drama,lighting design,n.,即興表演,The actors used improvisation to generate new material for the scene.,演員們使用即興表演為該場景生成新的素材。
 drama,melodrama,n.,燈光設計,The lighting design shifted from warm amber to cold blue to show the change in mood.,燈光設計從溫暖的琥珀色轉為冷冽的藍色以顯示情緒轉變。
 drama,monologue,n.,情節劇；通俗劇,Victorian melodrama often features a virtuous hero and a dastardly villain.,維多利亞時代的情節劇通常有一位品德高尚的英雄和一個卑鄙的惡棍。
 drama,musical theatre,n.,獨白,The actor delivered a moving monologue about loss.,演員發表了一段關於失去的動人獨白。
 drama,naturalism,n.,音樂劇,Les Misérables is a famous musical theatre production based on Victor Hugo's novel.,《悲慘世界》是一部根據維克多·雨果小說改編的著名音樂劇。
 drama,physical theatre,n.,自然主義,"""Hedda Gabler"" by Henrik Ibsen is a landmark play of theatrical naturalism.",易卜生的《海達·蓋伯勒》是戲劇自然主義的里程碑作品。
 drama,props,n.,形體劇場,DV8 Physical Theatre uses movement and dance rather than spoken dialogue to tell stories.,DV8形體劇場使用動作和舞蹈而非口語對白來講述故事。
 drama,set design,n.,道具；小道具,The actor forgot his most important prop: the letter.,演員忘記了他最重要的道具：那封信。
 drama,slow motion,n.,舞台設計；佈景設計,The set design for the musical included a rotating two-storey house.,這部音樂劇的舞台設計包含一座旋轉的兩層樓房屋。
 drama,soliloquy,n.,慢動作,The fight scene was performed in slow motion to heighten the drama.,打鬥場景以慢動作演出以增強戲劇張力。
 drama,sound design,n.,戲劇獨白,"Hamlet's ""To be or not to be"" is a famous soliloquy.",哈姆雷特的「生存還是毀滅」是一段著名的戲劇獨白。
 drama,stage direction,n.,音效設計,The sound design used a low rumble to suggest an approaching storm.,音效設計使用低沉的轟鳴聲來暗示即將來臨的風暴。
 drama,symbolic gesture,n.,舞台指示,"According to the stage direction, the lights fade and the curtain falls.",根據舞台指示，燈光漸暗，布幕落下。
 drama,tableau,n.,象徵性動作,Her symbolic gesture of opening a cage represented a desire for freedom.,她打開籠子的象徵性動作代表了對自由的渴望。
 drama,thought-tracking,n.,靜止畫面；定格造型,The play ended with a powerful tableau of the family reunited.,這齣戲以一家團聚的強而有力定格畫面作結。
 drama,tragedy,n.,思緒追蹤,"During thought-tracking, the actor revealed her character's secret fear.",在思緒追蹤環節中，演員揭示了她角色內心深處的恐懼。
 genre,anthology,n.,悲劇,The protagonist's tragic flaw leads to his downfall in the tragedy.,悲劇中主角的缺陷導致了他的毀滅。
 genre,biography,n.,選集；文集,The students read an anthology of modern American short stories.,學生們閱讀了一本美國現代短篇小說選集。
 genre,discursive text,n.,傳記,The biography of Steve Jobs explores the life of the Apple co-founder.,這部史蒂夫·賈伯斯的傳記探索了這位蘋果公司共同創始人的一生。
 genre,epic,n.,議論性文本,"In a discursive text, the writer explores an issue from multiple perspectives.",在議論性文本中，作者會從多個角度探討一個議題。
 genre,essay,n.,史詩,The Odyssey is an ancient Greek epic that narrates the journey of Odysseus.,《奧德賽》是一部古希臘史詩，敘述了奧德修斯的旅程。
 genre,fiction,n.,散文；論說文,The student wrote a persuasive essay on climate change.,學生寫了一篇關於氣候變遷的說服性文章。
 genre,genre,n.,小說,She enjoys reading historical fiction.,她喜歡讀歷史小說。
 genre,literary essay,n.,文類；體裁,The novel belongs to the science fiction genre.,這部小說屬於科幻文類。
 genre,memoir,n.,文學評論,A literary essay presents an argument about a text supported by evidence.,文學評論提出一個關於文本的論點，並以證據支持。
 genre,non-fiction,n.,回憶錄,The senator published a memoir detailing her years in public service.,這位參議員出版了一本回憶錄，詳述她多年從政的經歷。
 genre,parody,n.,非虛構作品,The course focuses on non-fiction essays and memoirs.,這門課程專注於非虛構散文與回憶錄。
 genre,prose,n.,戲仿；滑稽模仿,The sketch show performed a parody of the famous spy movie.,這場短劇表演對那部著名的間諜電影進行了戲仿。
 grammar,active voice,n.,散文,"Unlike poetry, prose uses ordinary grammatical structure and natural flow of speech.",與詩歌不同，散文使用普通的語法結構和自然的語言流動。
 grammar,ambiguity,n.,主動語態,"""The dog bit the mailman"" is written in the active voice.",「狗咬了郵差」用的是主動語態。
 grammar,clause,n.,含糊；歧義,The poet uses ambiguity to allow multiple interpretations.,詩人使用含糊來允許多種解讀。
 grammar,code-switching,n.,子句；分句,A clause contains both a subject and a verb.,一個子句同時包含主語和動詞。
 grammar,colloquialism,n.,語碼轉換,Code-switching occurs when speakers alternate between languages or dialects.,語碼轉換發生在說話者交替使用不同語言或方言時。
 grammar,connotation,n.,口語表達；俚語,The dialogue is rich in colloquialisms that reflect the character's regional background.,對話充滿口語表達，反映了角色的地域背景。
 grammar,denotation,n.,隱含意義；聯想義,"The word ""home"" has positive connotations of warmth and safety.",「家」這個詞帶有溫暖和安全的正面聯想意義。
 grammar,homonym,n.,字面意義；外延義,"While the connotation of ""snake"" is deceit, its denotation is simply a legless reptile.",雖然「蛇」的隱含意義是欺詐，但其字面意義只是無腿的爬行動物。
 grammar,nuance,n.,同音異義詞；同形異義詞,"""Bank"" is a homonym that can mean a financial institution or the side of a river.",「Bank」是一個同形異義詞，可指金融機構或河岸。
 grammar,passive voice,n.,細微差別,Understanding nuance is key to literary analysis.,理解細微差別是文學分析的關鍵。
 grammar,phrase,n.,被動語態,"""The mailman was bitten by the dog"" is written in the passive voice.",「郵差被狗咬了」用的是被動語態。
 grammar,plausible,n.,片語；短語,A phrase is a group of words that does not contain a verb.,片語是一組不包含動詞的單詞。
 grammar,polysemy,adj.,看似合理的,"Although the excuse was creative, it did not seem plausible to the teacher.",雖然這個藉口很有創意，但在老師看來似乎並不合理。
 grammar,pragmatics,n.,多義性,Polysemy refers to a word having multiple related meanings.,多義性指一個詞擁有多個相關意義。
 grammar,register,n.,語用學,Pragmatics examines how context influences language interpretation.,語用學檢視語境如何影響語言解讀。
 grammar,semantics,n.,語域；語體,Register refers to language variation according to social context.,語域指根據社會語境產生的語言變體。
 grammar,subtext,n.,語義學,Semantics studies the meaning of words and sentences.,語義學研究詞語與句子的意義。
 grammar,syntax,n.,潛臺詞,The subtext of the scene suggests hidden anger.,這場景的潛臺詞暗示了隱藏的憤怒。
 narrative,analepsis,n.,句法；句構,Syntax governs the arrangement of words and phrases to create well-formed sentences.,句法規範詞與片語的排列以構成合乎語法的句子。
 narrative,anecdote,n.,倒敘；回敘,The story uses analepsis to reveal the character's forgotten childhood memory.,這個故事使用倒敘來揭示角色被遺忘的童年記憶。
 narrative,backstory,n.,軼事；趣聞,The speaker opened with a humorous anecdote to capture the audience's attention.,演講者以一段幽默的軼事開場，以吸引觀眾的注意力。
 narrative,characterisation,n.,背景故事,The hero's tragic backstory explains his motivation for revenge.,主角悲慘的背景故事解釋了他復仇的動機。
 narrative,chronological,n.,人物塑造,"Through direct and indirect characterisation, the author brings the hero to life.",透過直接與間接的人物塑造，作者讓主角栩栩如生。
 narrative,chronology,adj.,按時間順序的,Chronological order is the most straightforward way to organize a narrative.,時間順序是組織敘事最直接的方式。
 narrative,climax,n.,時間順序,The film disrupts strict chronology by jumping back and forth in time.,這部電影透過在時間中前後跳躍來打亂嚴格的時間順序。
 narrative,denouement,n.,高潮,The story reaches its climax when the two rivals finally meet face to face.,當兩個競爭對手終於面對面碰頭時，故事達到了高潮。
 narrative,ellipsis,n.,(小說/戲劇)結局,"In the final denouement, all the mysteries are finally explained.",在最終的結局中，所有的謎團終於得到了解釋。
 narrative,epilogue,n.,省略；跳脫,A ten-year ellipsis jumps from the character's childhood to her adulthood.,一個十年的省略從角色的童年跳到了她的成年時期。
 narrative,exposition,n.,後記,The epilogue reveals what happened to the characters years later.,後記揭示了角色們多年後的境遇。
 narrative,external focalization,n.,闡述；(故事)背景鋪陳,The exposition provides the necessary background information about the characters.,故事的背景鋪陳提供了關於角色的必要背景資訊。
 narrative,first-person,n.,外部聚焦,External focalization only shows external actions without entering any character's mind.,外部聚焦只展示外部行動，不進入任何角色的內心。
 narrative,flashback,n.,第一人稱,"First-person narration uses ""I"" to tell the story from a character's perspective.",第一人稱敘事使用「我」從角色的視角講述故事。
 narrative,flashforward,n.,倒敘,A flashback reveals the character's traumatic childhood experience.,倒敘手法揭露了角色悲慘的童年經歷。
 narrative,focalization,n.,預敘；閃前,A flashforward reveals the character's fate at the very end of the play.,一個預敘鏡頭在戲劇尾聲揭示了角色的命運。
 narrative,foreshadowing,n.,聚焦；視角,Focalization determines through whose eyes the story is seen.,聚焦決定了故事是透過誰的眼睛被看見。
 narrative,frame story,n.,伏筆,The dark clouds in the first chapter served as foreshadowing for the coming tragedy.,第一章中的烏雲是為即將到來的悲劇埋下的伏筆。
 narrative,in medias res,n.,框架故事,The Thousand and One Nights is a famous frame story.,《一千零一夜》是一個著名的框架故事。
 narrative,internal focalization,phrase.,從情節中間開始,"The epic begins in medias res, with the hero already on his journey.",這部史詩從情節中間開始，英雄已踏上旅程。
 narrative,narrator,n.,內部聚焦,Internal focalization limits the narrative to what a single character knows.,內部聚焦將敘事限制在單一角色所知的範圍內。
 narrative,non-linear,n.,敘事者,The unreliable narrator makes the reader question the truth.,不可靠的敘事者讓讀者質疑故事的真實性。
 narrative,pacing,adj.,非線性的,The film uses a non-linear structure to reveal the mystery gradually.,這部電影使用非線性結構逐步揭示謎團。
 narrative,perspective,n.,節奏,The fast pacing of the thriller kept the audience on the edge of their seats.,這部驚悚片快速的節奏讓觀眾緊張得坐立難安。
 narrative,prolepsis,n.,觀點；視角,The story is told from a child's perspective.,這個故事是從孩子的視角敘述的。
 narrative,prologue,n.,預敘；前敘,The prolepsis at the beginning foreshadows the tragic ending.,開頭的預敘暗示了悲劇的結局。
 narrative,resolution,n.,序言,The prologue introduces the setting and the main conflict.,序言介紹了故事背景與主要衝突。
 narrative,scene,n.,結局；(問題)解決,"In the resolution, the family finally reunites and the conflict is settled.",在結局中，一家人終於團聚，衝突得到了解決。
 narrative,stream of consciousness,n.,場景；場景敘事,"In the scene, the conversation unfolds in real-time without summary.",在場景中，對話即時展開，沒有概括。
 narrative,subplot,n.,意識流,James Joyce uses stream of consciousness to mimic inner thoughts.,詹姆斯·喬伊斯使用意識流來模仿內心思緒。
 narrative,summary,n.,次要情節；支線,The subplot involving the detective's personal life adds depth to the main story.,涉及偵探個人生活的次要情節為主線增添了深度。
 narrative,third-person limited,n.,概括；概要敘事,The author uses a summary to quickly cover the protagonist's uneventful years.,作者使用概括來快速交代主角平淡的幾年。
 narrative,third-person omniscient,n.,第三人稱有限視角,Third-person limited narration reveals only one character's thoughts.,第三人稱有限視角僅揭示單一角色的想法。
