subject,word,pos,meaning,sentence e,sentence c,
History 歷史,sedentary,adj.,定居的,The development of agriculture allowed humans to lead a sedentary lifestyle in permanent villages.,農業的發展使人類能夠在永久性的村莊中過上定居生活。,
History 歷史,secular,adj.,世俗的,"During the Renaissance, secular interests in art and science began to grow alongside religious ones.",在文藝復興時期，世俗對藝術與科學的興趣開始隨著宗教興趣一同增長。,
History 歷史,clerical,adj.,教會的；神職人員的,Clerical authority was often challenged by monarchs who wanted more control over their own lands.,教會權威經常受到想要對自己土地擁有更多控制權的君主的挑戰。,
History 歷史,conquest,n.,征服,The Norman Conquest of 1066 changed the course of English history.,1066 年的諾曼征服改變了英國歷史的進程。,
History 歷史,reformation,n.,改革運動,The Protestant Reformation challenged the authority of the Catholic Church in the 16th century.,16 世紀的宗教改革運動挑戰了天主教會的權威。,
History 歷史,rebellion,n.,叛亂,Rebellions often arise when people feel oppressed by their rulers.,當人民感到被統治者壓迫時，叛亂常常發生。,
History 歷史,alliance,n.,聯盟,Military alliances like NATO are formed to ensure collective defense.,像北約這樣的軍事聯盟是為確保集體防禦而建立的。,
History 歷史,treaty,n.,條約,The Treaty of Versailles ended World War I but created new tensions.,凡爾賽條約結束了第一次世界大戰，但也製造了新的緊張。,
History 歷史,monarchy,n.,君主制,"In a constitutional monarchy, the king or queen has limited political power.",在君主立憲制中，國王或女王的政治權力有限。,
History 歷史,republic,n.,共和國,A republic is a form of government where leaders are elected by citizens.,共和國是一種由公民選舉領導人的政府形式。,
Politics 政治,rule,n.,規則,Rules help keep our classroom safe and fair.,規則幫助保持我們教室的安全與公平。,
Politics 政治,vote,v.,投票,Citizens vote to choose their leaders in a democracy.,在民主制度中，公民投票選舉領導人。,
Politics 政治,law,n.,法律,Laws are rules that everyone in a country must follow.,法律是一個國家中每個人都必須遵守的規則。,
Politics 政治,citizen,n.,公民,A citizen has rights and responsibilities in their country.,公民在其國家中擁有權利與責任。,
Politics 政治,government,n.,政府,The government is responsible for making and enforcing laws.,政府負責制定和執行法律。,
Politics 政治,election,n.,選舉,Regular elections allow citizens to choose their representatives.,定期選舉讓公民選擇他們的代表。,
Politics 政治,rights,n.,權利,Human rights include freedom of speech and the right to education.,人權包括言論自由和受教育權。,
Politics 政治,constitution,n.,憲法,A constitution is the fundamental law that defines a government's structure.,憲法是定義政府結構的根本大法。,
Politics 政治,democracy,n.,民主,Direct democracy allows citizens to vote on laws and policies personally rather than through representatives.,直接民主允許公民親自對法律和政策進行投票，而不是透過代表。,
Politics 政治,federalism,n.,聯邦制,Federalism divides power between national and regional governments.,聯邦制在國家與區域政府之間分配權力。,
Politics 政治,ideology,n.,意識形態,Political ideology shapes how people view society and government.,政治意識形態塑造人們對社會與政府的看法。,
Politics 政治,civil rights,n.,民權,The civil rights movement fought for equal treatment under the law.,民權運動為法律下的平等對待而奮鬥。,
Politics 政治,referendum,n.,公民投票,A referendum allows citizens to vote directly on a specific policy issue.,公民投票讓公民直接對特定政策議題投票。,
Politics 政治,sovereignty,n.,主權,National sovereignty refers to the right of a state to govern itself without interference.,國家主權是指一個國家在不受干涉的情況下自我治理的權利。,
Politics 政治,hegemony,n.,霸權,The superpower maintained its global hegemony through both military and economic means.,該超級大國透過軍事與經濟手段維持其全球霸權。,
Politics 政治,bureaucracy,n.,官僚體系,A large bureaucracy can sometimes lead to inefficiency in government operations.,龐大的官僚體系有時會導致政府運作效率低下。,
Politics 政治,liberalism,n.,自由主義,"Liberalism advocates for individual rights, democracy, and the rule of law.",自由主義主張個人權利、民主與法治。,
Politics 政治,conservatism,n.,保守主義,Conservatism generally favors tradition and stability over rapid social change.,保守主義通常偏好傳統與穩定，而非快速的社會變遷。,
Politics 政治,checks and balances,n.,制衡機制,The system of checks and balances prevents any single branch of government from becoming too powerful.,制衡機制防止政府的任何單一部門變得過於強大。,
Politics 政治,meritocracy,n.,菁英領導制,"In a pure meritocracy, power is vested in individuals based on their talent and effort.",在純粹的菁英領導制中，權力根據才華與努力賦予個人。,
Politics 政治,diplomacy,n.,外交,Diplomacy is the art of conducting negotiations between nations to maintain peace.,外交是各國之間進行談判以維持和平的藝術。,
Politics 政治,populism,n.,民粹主義,Populism often appeals to the common people who feel ignored by elite groups.,民粹主義通常訴諸那些感到被精英群體忽視的普通民眾。,
Politics 政治,suffrage,n.,選舉權,The women's suffrage movement fought for decades to win the right to vote.,女性選舉權運動奮鬥了數十年才贏得投票權。,
Politics 政治,autocracy,n.,獨裁政體,"In an autocracy, one person possesses unlimited power and the citizens have little say in government.",在獨裁政體中，一個人擁有無限權力，而公民在政府中幾乎沒有發言權。,
Politics 政治,oligarchy,n.,寡頭政治,"In an oligarchy, power is concentrated in the hands of a small, elite group.",在寡頭政治中，權力集中在一個小型的精英群體手中。,
Politics 政治,theocracy,n.,神權政治,A theocracy is a system of government where priests rule in the name of a god.,神權政治是一種由神職人員以神之名實施統治的政府體系。,
Politics 政治,totalitarianism,n.,極權主義,Totalitarianism is a form of government that exerts total control over its citizens' lives.,極權主義是一種對公民生活實施全面控制的政府形式。,
Politics 政治,biopolitics,n.,生命政治,"Biopolitics examines how states regulate populations through health, reproduction, and life policies.",生命政治檢視國家如何透過健康、生殖與生命政策管理人口。,
Politics 政治,deliberative democracy,n.,審議式民主,Deliberative democracy emphasizes reasoned discussion among citizens before making collective decisions.,審議式民主強調公民在做出集體決策前進行理性討論。,
Politics 政治,soft power,n.,軟實力,"Soft power influences others through culture, values, and diplomacy rather than coercion.",軟實力透過文化、價值與外交而非強迫來影響他人。,
Politics 政治,transitional justice,n.,轉型正義,Transitional justice addresses human rights violations after periods of conflict or authoritarian rule.,轉型正義處理衝突或威權統治時期後的人權侵害問題。,
Politics 政治,appeasement,n.,姑息政策,The policy of appeasement failed to prevent the outbreak of World War II.,姑息政策未能防止第二次世界大戰的爆發。,
Politics 政治,gerrymandering,n.,(為政黨利益)不公平劃分選區,Gerrymandering is used to manipulate boundaries to give one political party an unfair advantage.,不公平劃分選區被用來操縱選區邊界，以賦予某個政黨不公平的優勢。,
Politics 政治,egalitarianism,n.,平等主義,Egalitarianism advocates for equal rights and opportunities for all citizens.,平等主義主張所有公民享有平等的權利與機會。,
Politics 政治,geopolitical,adj.,地緣政治的,Geopolitical factors influence how nations form alliances and trade relationships.,地緣政治因素影響各國如何建立聯盟與貿易關係。,
Politics 政治,multilateralism,n.,多邊主義,Multilateralism promotes cooperation among multiple nations to address global challenges.,多邊主義促進多國合作以應對全球挑戰。,
Politics 政治,bilateral,adj.,雙邊的,The two countries signed a bilateral trade agreement to boost economic ties.,兩國簽署雙邊貿易協定以加強經濟聯繫。,
Politics 政治,sanctions,n.,制裁,Economic sanctions are often used as a tool of diplomatic pressure.,經濟制裁常被用作外交施壓的工具。,
Politics 政治,embargo,n.,禁運,An embargo restricts trade with a specific country for political reasons.,禁運出於政治原因限制與特定國家的貿易。,
Politics 政治,ratification,n.,批准,Ratification is the formal process by which a treaty becomes legally binding.,批准是條約成為具有法律約束力的正式程序。,
Politics 政治,protocol,n.,議定書,The Kyoto Protocol established targets for reducing greenhouse gas emissions.,京都議定書設定了減少溫室氣體排放的目標。,
Politics 政治,convention,n.,公約,International conventions set standards for human rights and humanitarian law.,國際公約為人權與人道主義法設立標準。,
Politics 政治,mediation,n.,調解,Mediation involves a neutral third party helping disputing sides reach agreement.,調解涉及中立第三方協助爭議雙方達成協議。,
Politics 政治,arbitration,n.,仲裁,Arbitration is a method of resolving disputes outside of court through a binding decision.,仲裁是一種透過具有約束力的決定在法庭外解決爭議的方法。,
Politics 政治,extradition,n.,引渡,Extradition treaties allow countries to transfer suspects for prosecution.,引渡條約允許各國移交嫌疑人以進行起訴。,
Politics 政治,asylum,n.,庇護,Political asylum protects individuals fleeing persecution in their home countries.,政治庇護保護那些逃離本國迫害的個人。,
Politics 政治,refugee,n.,難民,Refugees are people forced to leave their country due to war or persecution.,難民是因戰爭或迫害而被迫離開本國的人。,
Politics 政治,humanitarian,adj.,人道主義的,Humanitarian aid provides emergency assistance to populations affected by crisis.,人道主義援助為受危機影響的人群提供緊急援助。,
Politics 政治,intervention,n.,干預,Humanitarian intervention aims to protect civilians during armed conflict.,人道主義干預旨在武裝衝突期間保護平民。,
Politics 政治,peacekeeping,n.,維和,UN peacekeeping forces monitor ceasefires and help stabilize conflict zones.,聯合國維和部隊監督停火並協助穩定衝突地區。,
Politics 政治,hard power,n.,硬實力,Hard power relies on military and economic strength to influence other states.,硬實力依靠軍事與經濟實力來影響其他國家。,
Politics 政治,realism,n.,現實主義,Realism in international relations emphasizes national interest and power politics.,國際關係中的現實主義強調國家利益與權力政治。,
Politics 政治,constructivism,n.,建構主義,Constructivism argues that international norms and identities shape state behavior.,建構主義認為國際規範與認同塑造國家行為。,
Politics 政治,tech sovereignty,n.,科技主權,Tech sovereignty refers to a nation's ability to control its own digital infrastructure and data.,科技主權指國家掌控自身數位基礎設施與數據的能力。,
Politics 政治,cybersecurity,n.,網路安全,National cybersecurity strategies protect critical infrastructure from digital threats.,國家網路安全策略保護關鍵基礎設施免受數位威脅。,
Politics 政治,platform governance,n.,平台治理,Platform governance addresses how tech companies moderate content and protect user rights.,平台治理探討科技公司如何管理內容並保護使用者權利。,
Politics 政治,digital rights,n.,數位權利,"Digital rights include freedom of expression, privacy, and access to information in the digital age.",數位權利包含數位時代的言論自由、隱私權與資訊取得權。,
Politics 政治,artificial intelligence regulation,n.,人工智慧監管,AI regulation aims to ensure that emerging technologies serve public interest and ethical standards.,人工智慧監管旨在確保新興科技符合公共利益與倫理標準。,
Politics 政治,responsible innovation,n.,負責任創新,Responsible innovation policies ensure that technological advances align with societal values.,負責任創新政策確保科技進展符合社會價值。,
Philosophy 哲學,truth,n.,真理,Seeking truth is an important part of learning.,追求真理是學習的重要部分。,
Philosophy 哲學,question,n.,問題,Asking questions helps us understand the world better.,提問幫助我們更好地理解世界。,
Philosophy 哲學,right,n.,權利,Everyone has the right to share their opinions.,每個人都有權利表達自己的意見。,
Philosophy 哲學,choice,n.,選擇,Making good choices is a skill we learn over time.,做出好的選擇是我們隨時間學習的技能。,
Philosophy 哲學,virtue,n.,美德,Honesty and courage are examples of important virtues.,誠實和勇氣是重要美德的例子。,
Philosophy 哲學,reason,n.,理性,Using reason allows us to make logical decisions.,運用理性使我們能夠做出合乎邏輯的決定。,
Philosophy 哲學,justice,n.,正義,Justice means treating people fairly according to the law.,正義意味著根據法律公平對待人們。,
Philosophy 哲學,ethics,n.,倫理學,Ethics helps us decide what is right and wrong in difficult situations.,倫理學幫助我們在困難情境中判斷對錯。,
Philosophy 哲學,logic,n.,邏輯學,Logic provides rules for valid reasoning and argumentation.,邏輯學為有效推理與論證提供規則。,
Philosophy 哲學,aesthetics,n.,美學,"Aesthetics examines the nature of beauty, art, and taste.",美學探討美、藝術與品味的本質。,
Philosophy 哲學,morality,n.,道德,Morality involves principles concerning the distinction between right and wrong.,道德涉及關於對錯區分的原則。,
Philosophy 哲學,consciousness,n.,意識,Consciousness refers to the state of being aware of and able to think about one's experiences.,意識指覺察並能思考自身經驗的狀態。,
Philosophy 哲學,free will,n.,自由意志,The debate over free will asks whether humans can truly make independent choices.,關於自由意志的辯論探討人類是否真的能做出獨立選擇。,
Philosophy 哲學,determinism,n.,決定論,"Determinism holds that all events, including human actions, are determined by prior causes.",決定論認為所有事件（包括人類行為）都由先前原因所決定。,
Philosophy 哲學,pragmatism,n.,實用主義,Pragmatism judges ideas by their practical consequences rather than abstract principles.,實用主義以實際後果而非抽象原則來評判觀念。,
Philosophy 哲學,stoicism,n.,斯多葛主義,Stoicism teaches individuals to maintain self-control and detachment from emotions.,斯多葛主義教導個人保持自我克制並超脫情感。,
Philosophy 哲學,social contract,n.,社會契約,The social contract theory suggests that individuals give up some rights for protection.,社會契約論認為個人放棄部分權利以換取保護。,
Philosophy 哲學,humanism,n.,人文主義,Humanism focuses on human values and the potential for individual achievement.,人文主義關注人類價值與個人成就的潛力。,
Philosophy 哲學,rationalism,n.,理性主義,Rationalism believes that reason is the primary source of knowledge.,理性主義認為理性是知識的主要來源。,
Philosophy 哲學,skepticism,n.,懷疑論,Skepticism encourages questioning assumptions before accepting them as true.,懷疑論鼓勵在接受假設為真之前先質疑它們。,
Philosophy 哲學,dialectic,n.,辯證法,The dialectic method uses discussion to resolve contradictions and find truth.,辯證法透過討論解決矛盾並尋找真理。,
Philosophy 哲學,epistemology,n.,知識論,Epistemology asks fundamental questions about the nature and limits of human knowledge.,知識論對人類知識的本質與極限提出了根本性的問題。,
Philosophy 哲學,metaphysics,n.,形上學,"Metaphysics explores concepts beyond the physical world, such as existence and time.",形上學探索物理世界之外的概念，例如存在與時間。,
Philosophy 哲學,utilitarianism,n.,功利主義,Utilitarianism promotes actions that provide the greatest good for the greatest number.,功利主義提倡能為最大多數人提供最大利益的行動。,
Philosophy 哲學,empiricism,n.,經驗主義,Empiricism states that all knowledge must be grounded in sensory experience.,經驗主義主張所有知識都必須建立在感官經驗之上。,
Philosophy 哲學,existentialism,n.,存在主義,Existentialism emphasizes individual freedom and the responsibility to create meaning.,存在主義強調個人自由以及創造意義的責任。,
Philosophy 哲學,ontology,n.,本體論,Ontology studies the nature of being and what it means to exist.,本體論研究存在的本質以及「存在」意味著什麼。,
Philosophy 哲學,phenomenology,n.,現象學,Phenomenology focuses on the study of conscious experience from a first-person view.,現象學專注於從第一人稱視角研究意識經驗。,
Philosophy 哲學,post-structuralism,n.,後結構主義,Post-structuralism challenges the idea that language and culture have fixed structures.,後結構主義挑戰了語言與文化具有固定結構的觀點。,
Philosophy 哲學,idealism,n.,唯心主義,Idealism asserts that reality is mentally constructed or otherwise immaterial.,唯心主義主張現實是精神上建構的，或者是非物質的。,
Philosophy 哲學,materialism,n.,唯物主義,Materialism holds that matter is the fundamental substance in nature and all things are results of material interactions.,唯物主義認為物質是自然界的基本實體，所有事物都是物質交互作用的結果。,
Philosophy 哲學,nihilism,n.,虛無主義,"Nihilism is the philosophical belief that life is without objective meaning, purpose, or intrinsic value.",虛無主義是一種哲學信念，認為生命沒有客觀意義、目的或內在價值。,
Philosophy 哲學,deconstruction,n.,解構,"Deconstruction examines how language and texts contain multiple, often conflicting meanings.",解構檢視語言與文本如何包含多重且常相互衝突的意義。,
Philosophy 哲學,categorical imperative,n.,定言令式,Kant's categorical imperative requires actions to be universalizable as moral law.,康德的定言令式要求行動能作為道德法則普遍化。,
Philosophy 哲學,epistemic justice,n.,認知正義,Epistemic justice addresses inequalities in whose knowledge is valued and heard.,認知正義處理誰的知識被重視與聆聽的不平等問題。,
Education 教育,school,n.,學校,Children learn important skills and knowledge at school.,孩子們在學校學習重要的技能與知識。,
Education 教育,teacher,n.,教師,A good teacher inspires students to love learning.,一位好老師能激發學生熱愛學習。,
Education 教育,student,n.,學生,Students work hard to achieve their academic goals.,學生努力達成他們的學術目標。,
Education 教育,learn,v.,學習,We learn new things every day through experience and study.,我們每天透過經驗與學習新事物。,
Education 教育,knowledge,n.,知識,Knowledge is power that helps us understand and improve the world.,知識是幫助我們理解並改善世界的力量。,
Education 教育,curriculum,n.,課程,A well-designed curriculum balances academic knowledge with critical thinking and civic engagement.,設計良好的課程能平衡學術知識與批判性思維及公民參與。,
Education 教育,pedagogy,n.,教學法,Progressive pedagogy emphasizes student-centered learning and active participation.,進步教學法強調以學生為中心的學習與主動參與。,
Education 教育,literacy,n.,素養,Digital literacy is essential for navigating the modern information landscape.,數位素養對於駕馭現代資訊環境至關重要。,
Education 教育,assessment,n.,評量,Formative assessment helps teachers adjust instruction based on student progress.,形成性評量幫助教師根據學生進展調整教學。,
Education 教育,classroom,n.,教室,A supportive classroom environment encourages students to take intellectual risks.,支持性的教室環境鼓勵學生勇於智力探索。,
Education 教育,instruction,n.,教學,Differentiated instruction meets the diverse learning needs of all students.,差異化教學滿足所有學生的多元學習需求。,
Education 教育,textbook,n.,教科書,Textbooks provide structured content but should be supplemented with diverse resources.,教科書提供結構化內容，但應輔以多元資源。,
Education 教育,scholarship,n.,獎學金；學術研究,Scholarship requires rigorous research and critical engagement with existing knowledge.,學術研究需要嚴謹的研究並與現有知識進行批判性對話。,
Education 教育,academic,adj.,學術的,Academic freedom protects educators' right to pursue knowledge without political interference.,學術自由保護教育者不受政治干預地追求知識的權利。,
Education 教育,enrollment,n.,入學,University enrollment has increased as more students pursue higher education.,隨著更多學生追求高等教育，大學入學人數有所增加。,
Education 教育,graduation,n.,畢業,Graduation marks the completion of a significant educational milestone.,畢業標誌著完成一個重要的教育里程碑。,
Education 教育,education policy,n.,教育政策,"Education policy shapes curriculum standards, teacher training, and resource allocation.",教育政策影響課程標準、師資培訓與資源分配。,
Education 教育,equity in education,n.,教育公平,Equity in education ensures that all students have access to quality learning regardless of background.,教育公平確保所有學生不分背景都能取得優質學習資源。,
Education 教育,academic freedom,n.,學術自由,Academic freedom protects educators' and researchers' right to pursue knowledge without political interference.,學術自由保護教育者與研究者不受政治干預地追求知識的權利。,
Education 教育,standardized testing,n.,標準化測驗,Debates over standardized testing focus on its impact on teaching quality and student well-being.,關於標準化測驗的辯論聚焦於其對教學品質與學生福祉的影響。,
Education 教育,lifelong learning,n.,終身學習,Lifelong learning policies support citizens in adapting to economic and technological changes.,終身學習政策支援公民適應經濟與科技變遷。,
Education 教育,civic education,n.,公民教育,Civic education prepares young people to participate responsibly in democratic processes.,公民教育幫助年輕人準備負責任地參與民主程序。,
Education 教育,educational equity,n.,教育平等,Educational equity addresses systemic barriers that prevent marginalized groups from succeeding.,教育平等致力於消除阻礙邊緣群體成功的結構性障礙。,
Education 教育,school autonomy,n.,學校自主權,School autonomy allows local educators to tailor programs to community needs while meeting national standards.,學校自主權讓地方教育者能在符合國家標準的同時，依社區需求調整課程。,
Education 教育,teacher accountability,n.,教師問責制,Teacher accountability systems aim to improve educational outcomes through performance evaluation.,教師問責制旨在透過績效評估提升教育成果。,
Education 教育,STEM education,n.,STEM 教育,"STEM education policies promote science, technology, engineering, and math literacy for future innovation.",STEM 教育政策推動科學、科技、工程與數學素養，以促進未來創新。,以促進未來創新。
Education 教育,inclusive education,n.,融合教育,Inclusive education ensures that students with diverse needs learn together in supportive environments.,融合教育確保有不同需求的學生能在支援性環境中共同學習。,
Education 教育,educational decentralization,n.,教育去中心化,Educational decentralization shifts decision-making power from central authorities to local schools.,教育去中心化將決策權從中央機關轉移至地方學校。,
Education 教育,knowledge economy,n.,知識經濟,"In a knowledge economy, education and innovation become central drivers of national competitiveness.",在知識經濟中，教育與創新成為國家競爭力的核心驅動力。,
Education 教育,critical thinking,n.,批判性思維,Critical thinking enables students to analyze information and form reasoned judgments.,批判性思維使學生能夠分析資訊並形成理性判斷。,
Education 教育,formative assessment,n.,形成性評量,Formative assessment provides ongoing feedback to guide student learning during instruction.,形成性評量提供持續回饋，在教學過程中引導學生學習。,
Education 教育,summative assessment,n.,總結性評量,Summative assessment evaluates student learning at the end of an instructional unit.,總結性評量在教學單元結束時評估學生學習成果。,
Education 教育,differentiated instruction,n.,差異化教學,Differentiated instruction adapts teaching methods to accommodate diverse learning styles and abilities.,差異化教學調整教學方法以適應多元學習風格與能力。,
Education 教育,scaffolding,n.,鷹架教學,Scaffolding provides temporary support to help students master new concepts independently.,鷹架教學提供暫時性支援，幫助學生獨立掌握新概念。,
Education 教育,metacognition,n.,後設認知,Metacognition helps learners reflect on their own thinking processes and improve study strategies.,後設認知幫助學習者反思自身的思維過程並改進學習策略。,
Education 教育,experiential learning,n.,體驗式學習,Experiential learning connects theoretical knowledge with real-world practice through hands-on activities.,體驗式學習透過實作活動將理論知識與現實實踐相結合。,
Law 法律,rule,n.,規則,Rules help keep our classroom safe and fair.,規則幫助保持我們教室的安全與公平。,
Law 法律,law,n.,法律,Laws are rules that everyone in a country must follow.,法律是一個國家中每個人都必須遵守的規則。,
Law 法律,judge,n.,法官,A judge interprets the law and makes decisions in court cases.,法官解釋法律並在法庭案件中做出裁決。,
Law 法律,court,n.,法院,Courts resolve disputes and ensure justice is served according to the law.,法院解決爭議並確保依法實現正義。,
Law 法律,crime,n.,犯罪,Crime violates legal statutes and may result in punishment.,犯罪違反法律法規，可能導致懲罰。,
Law 法律,punishment,n.,懲罰,Punishment aims to deter crime and rehabilitate offenders.,懲罰旨在嚇阻犯罪並使違法者復歸社會。,
Law 法律,legal,adj.,法律的,Legal advice helps individuals understand their rights and obligations.,法律諮詢幫助個人理解其權利與義務。,
Law 法律,justice,n.,正義,Justice means treating people fairly according to the law.,正義意味著根據法律公平對待人們。,
Law 法律,rights,n.,權利,Human rights include freedom of speech and the right to education.,人權包括言論自由和受教育權。,
Law 法律,contract,n.,契約,A contract is a legally binding agreement between two or more parties.,契約是兩方或多方之間具有法律約束力的協議。,
Law 法律,evidence,n.,證據,Evidence must be reliable and relevant to support a legal argument.,證據必須可靠且相關，才能支持法律論點。,
Law 法律,trial,n.,審判,A fair trial ensures that the accused has the opportunity to defend themselves.,公平審判確保被告有機會為自己辯護。,
Law 法律,verdict,n.,判決,The jury reached a verdict after days of deliberation.,陪審團經過數天商議後達成了判決。,
Law 法律,appeal,n.,上訴,The defendant decided to appeal the court's decision to a higher court.,被告決定向更高級法院上訴該判決。,
Law 法律,statute,n.,法規,A statute is a written law passed by a legislative body.,法規是由立法機關通過的書面法律。,
Law 法律,jurisdiction,n.,管轄權,Jurisdiction determines which court has the authority to hear a particular case.,管轄權決定哪個法院有權審理特定案件。,
Law 法律,judicial,adj.,司法的,The judicial branch interprets laws and ensures they align with the constitution.,司法部門解釋法律並確保其符合憲法。,
Law 法律,judiciary,n.,司法部門,An independent judiciary is essential for upholding the rule of law.,獨立的司法部門對於維護法治至關重要。,
Law 法律,legislature,n.,立法機關,"The legislature is responsible for drafting, debating, and passing laws.",立法機關負責起草、辯論與通過法律。,
Law 法律,executive,n.,行政部門,The executive branch implements laws and manages day-to-day government operations.,行政部門負責執行法律並管理日常政府運作。,
Law 法律,amendment,n.,修正案,Constitutional amendments allow a nation's fundamental law to evolve over time.,憲法修正案讓國家的根本大法能隨時間演進。,
Law 法律,plaintiff,n.,原告,The plaintiff filed a lawsuit claiming damages for breach of contract.,原告提起訴訟，主張因違約造成的損害賠償。,
Law 法律,defendant,n.,被告,The defendant has the right to legal representation during trial.,被告在審判期間有權獲得法律代表。,
Law 法律,precedent,n.,判例,Judges often refer to a legal precedent to ensure consistency in their rulings.,法官通常參考法律判例，以確保裁決的一致性。,
Law 法律,jurisprudence,n.,法理學,Jurisprudence studies the philosophy and theory underlying legal systems.,法理學研究法律體系背後的哲學與理論。,
Law 法律,constitutional law,n.,憲法學,Constitutional law examines how government powers are defined and limited by a constitution.,憲法學探討政府權力如何由憲法定義與限制。,
Law 法律,civil law,n.,民法,"Civil law governs disputes between individuals or organizations, such as contracts and property.",民法規範個人或組織之間的爭議，如契約與財產。,
